edition,round,score1,score2,team1,team2,url,venue,year,,,,,,,,,
1930,URUGUAY,GROUP_STAGE,4,1,(3,0),France,Mexico,1930_URUGUAY_FS.htm#1,WC,30,I,Montevideo.,1930,,,
1930,URUGUAY,GROUP_STAGE,3,0,(2,0),United States,Belgium,1930_URUGUAY_FS.htm#13,WC,30,I,Montevideo.,1930,,,
1930,URUGUAY,GROUP_STAGE,2,1,(2,0),Yugoslavia,Brazil,1930_URUGUAY_FS.htm#7,WC,30,I,Montevideo.,1930,,,
1930,URUGUAY,GROUP_STAGE,3,1,(1,0),Romania,Peru,1930_URUGUAY_FS.htm#10,WC,30,I,Montevideo.,1930,,,
1930,URUGUAY,GROUP_STAGE,1,0,(0,0),Argentina,France,1930_URUGUAY_FS.htm#2,WC,30,I,Montevideo.,1930,,,
1930,URUGUAY,GROUP_STAGE,3,0,(1,0),Chile,Mexico ,1930_URUGUAY_FS.htm#3,WC,30,I,Montevideo.,1930,,,
1930,URUGUAY,GROUP_STAGE,4,0,(0,0),Yugoslavia ,Bolivia,1930_URUGUAY_FS.htm#8,WC,30,I,Montevideo.,1930,,,
1930,URUGUAY,GROUP_STAGE,3,0,(2,0),United States,Paraguay,1930_URUGUAY_FS.htm#14,WC,30,I,Montevideo.,1930,,,
1930,URUGUAY,GROUP_STAGE,1,0,(0,0),Uruguay,Peru ,1930_URUGUAY_FS.htm#11,WC,30,I,Montevideo.,1930,,,
1930,URUGUAY,GROUP_STAGE,1,0,(0,0),Chile,France,1930_URUGUAY_FS.htm#4,WC,30,I,Montevideo.,1930,,,
1930,URUGUAY,GROUP_STAGE,6,3,(3,1),Argentina,Mexico ,1930_URUGUAY_FS.htm#5,WC,30,I,Montevideo.,1930,,,
1930,URUGUAY,GROUP_STAGE,4,0,(1,0),Brazil ,Bolivia,1930_URUGUAY_FS.htm#9,WC,30,I,Montevideo.,1930,,,
1930,URUGUAY,GROUP_STAGE,1,0,(1,0),Paraguay,Belgium,1930_URUGUAY_FS.htm#15,WC,30,I,Montevideo.,1930,,,
1930,URUGUAY,GROUP_STAGE,4,0,(4,0),Uruguay,Romania ,1930_URUGUAY_FS.htm#12,WC,30,I,Montevideo.,1930,,,
1930,URUGUAY,GROUP_STAGE,3,1,(2,1),Argentina,Chile,1930_URUGUAY_FS.htm#6,WC,30,I,Montevideo.,1930,,,
1930,URUGUAY,1/2_FINAL,6,1,(1,0),Argentina,United States,1930_URUGUAY_FS.htm#16,WC,30,II,Montevideo.,1930,,,
1930,URUGUAY,1/2_FINAL,6,1,(3,1),Uruguay,Yugoslavia ,1930_URUGUAY_FS.htm#17,WC,30,II,Montevideo.,1930,,,
1930,URUGUAY,_FINAL,4,2,(1,2),Uruguay,Argentina,1930_URUGUAY_FS.htm#18,WC,30,III,Montevideo.,1930,,,
1934,ITALY,PRELIMINARY,6,2,(4,0),Sweden,Estonia,1934_ITALY_PR.htm,Stockholm.,1933,,,,,,
1934,ITALY,PRELIMINARY,0,2,(0,0),Lithuania,Sweden ,1934_ITALY_PR.htm,Kaunas.,1933,,,,,,
1934,ITALY,PRELIMINARY,2,2,(0,0),Yugoslavia ,Switzerland ,1934_ITALY_PR.htm,Beograd.,1933,,,,,,
1934,ITALY,PRELIMINARY,1,2,(0,1),Poland,Czechoslovakia,1934_ITALY_PR.htm,Warszawa.,1933,,,,,,
1934,ITALY,PRELIMINARY,2,0,(w.o.),Switzerland,Romania ,1934_ITALY_PR.htm,Bern.,1933,,,,,,,
1934,ITALY,PRELIMINARY,1,3,(0,1),Haiti,Cuba,1934_ITALY_PR.htm,Port,au,Prince.,1934,,,,
