Player,Goals,1930,1934,1938,1950,1954,1958,1962,1966,1970,1974,1978,1982,1986,1990,1994,1998,2002,2006,2010,2014,2018
Ronaldo,15,,,,,,,,,,,,,,,,4,8,3,,,
Pelé,12,,,,,,6,1,1,4,,,,,,,,,,,,
Jairzinho,9,,,,,,,,,7,2,,,,,,,,,,,
Vavá,9,,,,,,5,4,,,,,,,,,,,,,,
Ademir,8,,,,8,,,,,,,,,,,,,,,,,
Leônidas,8,,1,7,,,,,,,,,,,,,,,,,,
Rivaldo,8,,,,,,,,,,,,,,,,3,5,,,,
Careca,7,,,,,,,,,,,,,5,2,,,,,,,
Bebeto,6,,,,,,,,,,,,,,,3,3,,,,,
Rivellino,6,,,,,,,,,3,3,,,,,,,,,,,
Garrincha,5,,,,,,,4,1,,,,,,,,,,,,,
Romário,5,,,,,,,,,,,,,,,5,,,,,,
Zico,5,,,,,,,,,,,1,4,,,,,,,,,
Chico,4,,,,4,,,,,,,,,,,,,,,,,
Neymar,4,,,,,,,,,,,,,,,,,,,,4,
Sócrates,4,,,,,,,,,,,,2,2,,,,,,,,
Amarildo,3,,,,,,,3,,,,,,,,,,,,,,
Baltazar,3,,,,2,1,,,,,,,,,,,,,,,,
César Sampaio,3,,,,,,,,,,,,,,,,3,,,,,
Didi,3,,,,,2,1,,,,,,,,,,,,,,,
Dirceu,3,,,,,,,,,,,3,,,,,,,,,,
Falcão,3,,,,,,,,,,,,3,,,,,,,,,
Luís Fabiano,3,,,,,,,,,,,,,,,,,,,3,,
José Perácio,3,,,3,,,,,,,,,,,,,,,,,,
Preguinho,3,3,,,,,,,,,,,,,,,,,,,,
Roberto Dinamite,3,,,,,,,,,,,3,,,,,,,,,,
Romeu,3,,,3,,,,,,,,,,,,,,,,,,
Tostão,3,,,,,,,,1,2,,,,,,,,,,,,
Adriano,2,,,,,,,,,,,,,,,,,,2,,,
David Luiz,2,,,,,,,,,,,,,,,,,,,,2,
Éder,2,,,,,,,,,,,,2,,,,,,,,,
Elano,2,,,,,,,,,,,,,,,,,,,2,,
Fred,2,,,,,,,,,,,,,,,,,,1,,1,
Jair,2,,,,2,,,,,,,,,,,,,,,,,
Josimar,2,,,,,,,,,,,,,2,,,,,,,,
Julinho,2,,,,,2,,,,,,,,,,,,,,,,
Mazola,2,,,,,,2,,,,,,,,,,,,,,,
Moderato,2,2,,,,,,,,,,,,,,,,,,,,
Müller,2,,,,,,,,,,,,,,2,,,,,,,
Nelinho,2,,,,,,,,,,,2,,,,,,,,,,
Oscar,2,,,,,,,,,,,,,,,,,,,,2,
Pinga,2,,,,,2,,,,,,,,,,,,,,,,
Robinho,2,,,,,,,,,,,,,,,,,,,2,,
Ronaldinho,2,,,,,,,,,,,,,,,,,2,,,,
Serginho,2,,,,,,,,,,,,2,,,,,,,,,
Mário Zagallo,2,,,,,,1,1,,,,,,,,,,,,,,
Zizinho,2,,,,2,,,,,,,,,,,,,,,,,
Alfredo,1,,,,1,,,,,,,,,,,,,,,,,
Branco,1,,,,,,,,,,,,,,,1,,,,,,
Carlos Alberto,1,,,,,,,,,1,,,,,,,,,,,,
Clodoaldo,1,,,,,,,,,1,,,,,,,,,,,,
Philippe Coutinho,1,,,,,,,,,,,,,,,,,,,,,1
Djalma Santos,1,,,,,1,,,,,,,,,,,,,,,,
Edinho,1,,,,,,,,,,,,,1,,,,,,,,
Edmílson,1,,,,,,,,,,,,,,,,,1,,,,
Fernandinho,1,,,,,,,,,,,,,,,,,,,,1,
Friaça,1,,,,1,,,,,,,,,,,,,,,,,
Gérson,1,,,,,,,,,1,,,,,,,,,,,,
Gilberto,1,,,,,,,,,,,,,,,,,,1,,,
Juan,1,,,,,,,,,,,,,,,,,,,1,,
Juninho,1,,,,,,,,,,,,,,,,,,1,,,
Júnior,1,,,,,,,,,,,,1,,,,,,,,,
Júnior,1,,,,,,,,,,,,,,,,,1,,,,
Kaká,1,,,,,,,,,,,,,,,,,,1,,,
Maicon,1,,,,,,,,,,,,,,,,,,,1,,
Maneca,1,,,,1,,,,,,,,,,,,,,,,,
Márcio Santos,1,,,,,,,,,,,,,,,1,,,,,,
Nílton Santos,1,,,,,,1,,,,,,,,,,,,,,,
Oscar,1,,,,,,,,,,,,1,,,,,,,,,
Raí,1,,,,,,,,,,,,,,,1,,,,,,
Reinaldo,1,,,,,,,,,,,1,,,,,,,,,,
Rildo,1,,,,,,,,1,,,,,,,,,,,,,
Roberto,1,,,1,,,,,,,,,,,,,,,,,,
Roberto Carlos,1,,,,,,,,,,,,,,,,,1,,,,
Thiago Silva,1,,,,,,,,,,,,,,,,,,,,1,
Valdomiro,1,,,,,,,,,,1,,,,,,,,,,,
Zé Roberto,1,,,,,,,,,,,,,,,,,,1,,,
Zito,1,,,,,,,1,,,,,,,,,,,,,,
Own goals,2,,,,1,,,,,,,,,,,,1,,,,,
Total,222,5,1,14,22,8,16,14,4,19,6,10,15,10,4,11,14,18,10,9,11,1
