Player,Goals,1962,1990,1994,1998,2014,2018
James Rodríguez,6,,,,,6,
Jackson Martínez,2,,,,,2,
Bernardo Redín,2,,2,,,,
Adolfo Valencia,2,,,2,,,
Germán Aceros,1,1,,,,,
Pablo Armero,1,,,,,1,
Marcos Coll,1,1,,,,,
Juan Cuadrado,1,,,,,1,
Hernán Gaviria,1,,,1,,,
Teófilo Gutiérrez,1,,,,,1,
Marino Klinger,1,1,,,,,
Harold Lozano,1,,,1,,,
Léider Preciado,1,,,,1,,
Juan Fernando Quintero,1,,,,,1,
Antonio Rada,1,1,,,,,
Freddy Rincón,1,,1,,,,
Carlos Valderrama,1,,1,,,,
Francisco Zuluaga,1,1,,,,,
Total,26,5,4,4,1,12,0
