Player,Goals,1934,1938,1954,1958,1962,1970,1982,1990
Oldřich Nejedlý,7,5,2,,,,,,
Tomáš Skuhravý,5,,,,,,,,5
Zdeněk Zikán,4,,,,4,,,,
Adolf Scherer,3,,,,,3,,,
Michal Bílek,2,,,,,,,,2
Milan Dvořák,2,,,,2,,,,
Václav Hovorka,2,,,,2,,,,
Ladislav Petráš,2,,,,,,2,,
Antonín Panenka,2,,,,,,,2,
Antonín Puč,2,2,,,,,,,
Jiří Feureisl,1,,,,1,,,,
Ivan Hašek,1,,,,,,,,1
Josef Kadraba,1,,,,,1,,,
Vlastimil Kopecký,1,,1,,,,,,
Josef Košťálek,1,,1,,,,,,
Luboš Kubík,1,,,,,,,,1
Milan Luhový,1,,,,,,,,1
Václav Mašek,1,,,,,1,,,
Josef Masopust,1,,,,,1,,,
Jiří Sobotka,1,1,,,,,,,
Jozef Štibrányi,1,,,,,1,,,
František Svoboda,1,1,,,,,,,
Josef Zeman,1,,1,,,,,,
Total,44,9,5,0,9,7,2,2,10
