Player,Goals,1950,1954,1958,1962,1966,1970,1982,1986,1990,1998,2002,2006,2010,2014,2018
Gary Lineker,10,,,,,,,,6,4,,,,,,
Harry Kane,6,,,,,,,,,,,,,,,
Geoff Hurst,5,,,,,4,1,,,,,,,,,
Bobby Charlton,4,,,,1,3,,,,,,,,,,
Michael Owen,4,,,,,,,,,,2,2,,,,
David Beckham,3,,,,,,,,,,1,1,1,,,
Steven Gerrard,3,,,,,,,,,,,,2,1,,
Roger Hunt,3,,,,,3,,,,,,,,,,
Nat Lofthouse,3,,3,,,,,,,,,,,,,
David Platt,3,,,,,,,,,3,,,,,,
Ivor Broadis,2,,2,,,,,,,,,,,,,
Tom Finney,2,,1,1,,,,,,,,,,,,
Ron Flowers,2,,,,2,,,,,,,,,,,
Trevor Francis,2,,,,,,,2,,,,,,,,
Derek Kevan,2,,,2,,,,,,,,,,,,
Martin Peters,2,,,,,1,1,,,,,,,,,
Bryan Robson,2,,,,,,,2,,,,,,,,
Alan Shearer,2,,,,,,,,,,2,,,,,
John Stones,2,,,,,,,,,,,,,,,
Dele Alli,1,,,,,,,,,,,,,,,
Darren Anderton,1,,,,,,,,,,1,,,,,
Peter Beardsley,1,,,,,,,,1,,,,,,,
Sol Campbell,1,,,,,,,,,,,1,,,,
Allan Clarke,1,,,,,,1,,,,,,,,,
Joe Cole,1,,,,,,,,,,,,1,,,
Peter Crouch,1,,,,,,,,,,,,1,,,
Jermain Defoe,1,,,,,,,,,,,,,1,,
Rio Ferdinand,1,,,,,,,,,,,1,,,,
Jimmy Greaves,1,,,,1,,,,,,,,,,,
Johnny Haynes,1,,,1,,,,,,,,,,,,
Emile Heskey,1,,,,,,,,,,,1,,,,
Gerry Hitchens,1,,,,1,,,,,,,,,,,
Jesse Lingard,1,,,,,,,,,,,,,,,1
Harry Maguire,1,,,,,,,,,,,,,,,1
Wilf Mannion,1,1,,,,,,,,,,,,,,
Paul Mariner,1,,,,,,,1,,,,,,,,
Stan Mortensen,1,1,,,,,,,,,,,,,,
Jimmy Mullen,1,,1,,,,,,,,,,,,,
Alan Mullery,1,,,,,,1,,,,,,,,,
Wayne Rooney,1,,,,,,,,,,,,,,1,
Paul Scholes,1,,,,,,,,,,1,,,,,
Daniel Sturridge,1,,,,,,,,,,,,,,1,
Matthew Upson,1,,,,,,,,,,,,,1,,
Dennis Wilshaw,1,,1,,,,,,,,,,,,,
Mark Wright,1,,,,,,,,,1,,,,,,
Own goals,2,,,,,,,1,,,,,1,,,
Total,90,2,8,4,5,11,4,6,7,8,7,6,6,3,2,11
