Player,Goals,1930,1934,1938,1954,1958,1966,1978,1982,1986,1998,2002,2006,2010,2014,2018
Just Fontaine,13,,,,,13,,,,,,,,,,
Thierry Henry,6,,,,,,,,,,3,,3,,,
Michel Platini,5,,,,,,,1,2,2,,,,,,
Zinedine Zidane,5,,,,,,,,,,2,,3,,,
Raymond Kopa,4,,,,1,3,,,,,,,,,,
Dominique Rocheteau,4,,,,,,,1,2,1,,,,,,
Karim Benzema,3,,,,,,,,,,,,,,3,
Bernard Genghini,3,,,,,,,,2,1,,,,,,
Alain Giresse,3,,,,,,,,3,,,,,,,
Antoine Griezmann,3,,,,,,,,,,,,,,,3
Kylian Mbappé,3,,,,,,,,,,,,,,,3
Jean Nicolas,3,,1,2,,,,,,,,,,,,
Roger Piantoni,3,,,,,3,,,,,,,,,,
André Maschinot,2,2,,,,,,,,,,,,,,
Jean-Pierre Papin,2,,,,,,,,,2,,,,,,
Emmanuel Petit,2,,,,,,,,,,2,,,,,
Didier Six,2,,,,,,,,2,,,,,,,
Yannick Stopyra,2,,,,,,,,,2,,,,,,
Lilian Thuram,2,,,,,,,,,,2,,,,,
Patrick Vieira,2,,,,,,,,,,,,2,,,
Jean Vincent,2,,,,1,1,,,,,,,,,,
Maryan Wisnieski,2,,,,,2,,,,,,,,,,
Manuel Amoros,1,,,,,,,,,1,,,,,,
Marc Berdoll,1,,,,,,,1,,,,,,,,
Laurent Blanc,1,,,,,,,,,,1,,,,,
Maxime Bossis,1,,,,,,,,1,,,,,,,
Alain Couriol,1,,,,,,,,1,,,,,,,
Héctor De Bourgoing,1,,,,,,1,,,,,,,,,
Youri Djorkaeff,1,,,,,,,,,,1,,,,,
Yvon Douis,1,,,,,1,,,,,,,,,,
Christophe Dugarry,1,,,,,,,,,,1,,,,,
Luis Fernández,1,,,,,,,,,1,,,,,,
Jean-Marc Ferreri,1,,,,,,,,,1,,,,,,
René Girard,1,,,,,,,,1,,,,,,,
Olivier Giroud,1,,,,,,,,,,,,,,1,
Gérard Hausser,1,,,,,,1,,,,,,,,,
Oscar Heisserer,1,,,1,,,,,,,,,,,,
Bernard Lacombe,1,,,,,,,1,,,,,,,,
Marcel Langiller,1,1,,,,,,,,,,,,,,
Lucien Laurent,1,1,,,,,,,,,,,,,,
Bixente Lizarazu,1,,,,,,,,,,1,,,,,
Christian Lopez,1,,,,,,,1,,,,,,,,
Florent Malouda,1,,,,,,,,,,,,,1,,
Blaise Matuidi,1,,,,,,,,,,,,,,1,
Benjamin Pavard,1,,,,,,,,,,,,,,,1
Paul Pogba,1,,,,,,,,,,,,,,1,
Franck Ribéry,1,,,,,,,,,,,,1,,,
Moussa Sissoko,1,,,,,,,,,,,,,,1,
Gérard Soler,1,,,,,,,,1,,,,,,,
Jean Tigana,1,,,,,,,,,1,,,,,,
Marius Trésor,1,,,,,,,,1,,,,,,,
David Trezeguet,1,,,,,,,,,,1,,,,,
Mathieu Valbuena,1,,,,,,,,,,,,,,1,
Raphaël Varane,1,,,,,,,,,,,,,,,1
Émile Veinante,1,,,1,,,,,,,,,,,,
Georges Verriest,1,,1,,,,,,,,,,,,,
Own goals,5,,,,1,,,,,,1,,,,2,1
Total,115,4,2,4,3,23,2,5,16,12,15,0,9,1,10,9
