Player,Goals,1934,1938,1954,1958,1962,1966,1970,1974,1978,1982,1986,1990,1994,1998,2002,2006,2010,2014,2018
Miroslav Klose,16,,,,,,,,,,,,,,,5,5,4,2,
Gerd Müller,14,,,,,,,10,4,,,,,,,,,,,
Jürgen Klinsmann,11,,,,,,,,,,,,3,5,3,,,,,
Thomas Müller,10,,,,,,,,,,,,,,,,,5,5,
Helmut Rahn,10,,,4,6,,,,,,,,,,,,,,,
Karl-Heinz Rummenigge,9,,,,,,,,,3,5,1,,,,,,,,
Uwe Seeler,9,,,,2,2,2,3,,,,,,,,,,,,
Rudi Völler,8,,,,,,,,,,,3,3,2,,,,,,
Hans Schäfer,7,,,4,3,,,,,,,,,,,,,,,
Helmut Haller,6,,,,,,6,,,,,,,,,,,,,
Lothar Matthäus,6,,,,,,,,,,,1,4,1,,,,,,
Max Morlock,6,,,6,,,,,,,,,,,,,,,,
Franz Beckenbauer,5,,,,,,4,1,,,,,,,,,,,,
Lukas Podolski,5,,,,,,,,,,,,,,,,3,2,,
Oliver Bierhoff,4,,,,,,,,,,,,,,3,1,,,,
Andreas Brehme,4,,,,,,,,,,,1,3,,,,,,,
Paul Breitner,4,,,,,,,,3,,1,,,,,,,,,
Edmund Conen,4,4,,,,,,,,,,,,,,,,,,
Ottmar Walter,4,,,4,,,,,,,,,,,,,,,,
Michael Ballack,3,,,,,,,,,,,,,,,3,,,,
Pierre Littbarski,3,,,,,,,,,,2,,1,,,,,,,
Wolfgang Overath,3,,,,,,,1,2,,,,,,,,,,,
André Schürrle,3,,,,,,,,,,,,,,,,,,3,
Fritz Walter,3,,,3,,,,,,,,,,,,,,,,
Klaus Allofs,2,,,,,,,,,,,2,,,,,,,,
Klaus Fischer,2,,,,,,,,,,2,,,,,,,,,
Heinz Flohe,2,,,,,,,,,2,,,,,,,,,,
Mario Götze,2,,,,,,,,,,,,,,,,,,2,
Karl Hohmann,2,2,,,,,,,,,,,,,,,,,,
Mats Hummels,2,,,,,,,,,,,,,,,,,,2,
Sami Khedira,2,,,,,,,,,,,,,,,,,1,1,
Toni Kroos,2,,,,,,,,,,,,,,,,,,2,
Ernst Lehner,2,2,,,,,,,,,,,,,,,,,,
Dieter Müller,2,,,,,,,,,2,,,,,,,,,,
Oliver Neuville,2,,,,,,,,,,,,,,,1,1,,,
Mesut Özil,2,,,,,,,,,,,,,,,,,1,1,
Bastian Schweinsteiger,2,,,,,,,,,,,,,,,,2,,,
Rüdiger Abramczik,1,,,,,,,,,1,,,,,,,,,,
Uwe Bein,1,,,,,,,,,,,,1,,,,,,,
Marco Bode,1,,,,,,,,,,,,,,,1,,,,
Rainer Bonhof,1,,,,,,,,1,,,,,,,,,,,
Albert Brülls,1,,,,,1,,,,,,,,,,,,,,
Cacau,1,,,,,,,,,,,,,,,,,1,,
Hans Cieslarczyk,1,,,,1,,,,,,,,,,,,,,,
Bernhard Cullmann,1,,,,,,,,1,,,,,,,,,,,
Lothar Emmerich,1,,,,,,1,,,,,,,,,,,,,
Arne Friedrich,1,,,,,,,,,,,,,,,,,1,,
Torsten Frings,1,,,,,,,,,,,,,,,,1,,,
Josef Gauchel,1,,1,,,,,,,,,,,,,,,,,
Jürgen Grabowski,1,,,,,,,,1,,,,,,,,,,,
Wilhelm Hahnemann,1,,1,,,,,,,,,,,,,,,,,
Sigfried Held,1,,,,,,1,,,,,,,,,,,,,
Richard Herrmann,1,,,1,,,,,,,,,,,,,,,,
Uli Hoeneß,1,,,,,,,,1,,,,,,,,,,,
Bernd Hölzenbein,1,,,,,,,,,1,,,,,,,,,,
Horst Hrubesch,1,,,,,,,,,,1,,,,,,,,,
Carsten Jancker,1,,,,,,,,,,,,,,,1,,,,
Marcell Jansen,1,,,,,,,,,,,,,,,,,1,,
Bernhard Klodt,1,,,1,,,,,,,,,,,,,,,,
Stanislaus Kobierski,1,1,,,,,,,,,,,,,,,,,,
Philipp Lahm,1,,,,,,,,,,,,,,,,1,,,
Reinhard Libuda,1,,,,,,,1,,,,,,,,,,,,
Thomas Linke,1,,,,,,,,,,,,,,,1,,,,
Andreas Möller,1,,,,,,,,,,,,,,1,,,,,
Hansi Müller,1,,,,,,,,,1,,,,,,,,,,
Rudolf Noack,1,1,,,,,,,,,,,,,,,,,,
Alfred Pfaff,1,,,1,,,,,,,,,,,,,,,,
Uwe Reinders,1,,,,,,,,,,1,,,,,,,,,
Karl-Heinz Riedle,1,,,,,,,,,,,,,1,,,,,,
Bernd Schneider,1,,,,,,,,,,,,,,,1,,,,
Karl-Heinz Schnellinger,1,,,,,,,1,,,,,,,,,,,,
Otto Siffling,1,1,,,,,,,,,,,,,,,,,,
Horst Szymaniak,1,,,,,1,,,,,,,,,,,,,,
Wolfgang Weber,1,,,,,,1,,,,,,,,,,,,,
Own goals,4,,1,1,,,,,,,,,,,1,,1,,,
Total,224,11,3,25,12,4,15,17,13,10,12,8,15,9,8,14,14,16,18,0
