Player,Goals,1934,1938,1954,1958,1962,1966,1978,1982,1986
Sándor Kocsis,11,,,11,,,,,,
Lajos Tichy,7,,,,4,3,,,,
György Sárosi,6,1,5,,,,,,,
Gyula Zsengellér,5,,5,,,,,,,
Flórián Albert,4,,,,,4,,,,
Ferenc Bene,4,,,,,,4,,,
Nándor Hidegkuti,4,,,4,,,,,,
Ferenc Puskás,4,,,4,,,,,,
Zoltán Czibor,3,,,3,,,,,,
László Kiss,3,,,,,,,,3,
Géza Toldi,3,2,1,,,,,,,
László Fazekas,2,,,,,,,,2,
Mihály Lantos,2,,,2,,,,,,
Kálmán Mészöly,2,,,,,,2,,,
Tibor Nyilasi,2,,,,,,,,2,
Péter Palotás,2,,,2,,,,,,
Gábor Pölöskei,2,,,,,,,,2,
Pál Titkos,2,,2,,,,,,,
József Bencsics,1,,,,1,,,,,
József Bozsik,1,,,,1,,,,,
Károly Csapó,1,,,,,,,1,,
Lajos Détári,1,,,,,,,,,1
Márton Esterházy,1,,,,,,,,,1
János Farkas,1,,,,,,1,,,
Vilmos Kohut,1,,1,,,,,,,
Károly Sándor,1,,,,1,,,,,
Ernő Solymosi,1,,,,,1,,,,
Lázár Szentes,1,,,,,,,,1,
Pál Teleki,1,1,,,,,,,,
András Tóth,1,,,,,,,1,,
József Tóth (1929),1,,,1,,,,,,
József Tóth (1951),1,,,,,,,,1,
József Varga,1,,,,,,,,1,
Jenő Vincze,1,1,,,,,,,,
Sándor Zombori,1,,,,,,,1,,
Own goals,2,,1,,,,1,,,
Total,87,5,15,27,7,8,8,3,12,2
