Player,Goals,1930,1950,1958,1986,1998,2002,2006,2010
Nelson Cuevas,3,,,,,,2,1,
Juan Agüero,2,,,2,,,,,
Florencio Amarilla,2,,,2,,,,,
Roberto Cabañas,2,,,,2,,,,
José Parodi,2,,,2,,,,,
Jorge Lino Romero,2,,,2,,,,,
Julio César Romero,2,,,,2,,,,
Antolín Alcaraz,1,,,,,,,,1
Francisco Arce,1,,,,,,1,,
Celso Ayala,1,,,,,1,,,
Miguel Ángel Benítez,1,,,,,1,,,
Jorge Luis Campos,1,,,,,,1,,
José Cardozo,1,,,,,1,,,
Atilio López,1,,1,,,,,,
César López,1,,1,,,,,,
Cayetano Ré,1,,,1,,,,,
Cristian Riveros,1,,,,,,,,1
Roque Santa Cruz,1,,,,,,1,,
Luis Vargas Peña,1,1,,,,,,,
Enrique Vera,1,,,,,,,,1
Own goals,2,,,,,,1,1,
Total,30,1,2,9,4,3,6,2,3
