Player,Goals,1938,1974,1978,1982,1986,2002,2006,2018
Grzegorz Lato,10,,7,2,1,,,,
Andrzej Szarmach,7,,5,1,1,,,,
Zbigniew Boniek,6,,,2,4,,,,
Kazimierz Deyna,4,,3,1,,,,,
Ernest Wilimowski,4,4,,,,,,,
Bartosz Bosacki,2,,,,,,,2,
Włodzimierz Smolarek,2,,,,1,1,,,
Andrzej Buncol,1,,,,1,,,,
Włodzimierz Ciołek,1,,,,1,,,,
Jerzy Gorgoń,1,,1,,,,,,
Paweł Kryszałowicz,1,,,,,,1,,
Janusz Kupcewicz,1,,,,1,,,,
Stefan Majewski,1,,,,1,,,,
Emmanuel Olisadebe,1,,,,,,1,,
Fryderyk Scherfke,1,1,,,,,,,
Marcin Żewłakow,1,,,,,,1,,
Total,44,5,16,6,11,1,3,2,0
