Player,Goals,1966,1986,2002,2006,2010,2014,2018
Eusébio,9,9,,,,,,
Cristiano Ronaldo,6,,,,1,1,1,3
Pauleta,4,,,3,1,,,
José Augusto,3,3,,,,,,
José Torres,3,3,,,,,,
Maniche,2,,,,2,,,
Simão,2,,,,1,1,,
Tiago,2,,,,,2,,
António Simões,1,1,,,,,,
Beto,1,,,1,,,,
Carlos Manuel,1,,1,,,,,
Deco,1,,,,1,,,
Diamantino,1,,1,,,,,
Hugo Almeida,1,,,,,1,,
Liédson,1,,,,,1,,
Nani,1,,,,,,1,
Nuno Gomes,1,,,,1,,,
Raul Meireles,1,,,,,1,,
Rui Costa,1,,,1,,,,
Silvestre Varela,1,,,,,,1,
Own goals,3,1,,1,,,1,
Total,46,17,2,6,7,7,4,3
