Player,Goals,1930,1934,1938,1970,1990,1994,1998
Florin Răducioiu,4,,,,,,4,
Ștefan Dobay,3,,1,2,,,,
Gheorghe Hagi,3,,,,,,3,
Gavril Balint,2,,,,,2,,
Florea Dumitrache,2,,,,2,,,
Ilie Dumitrescu,2,,,,,,2,
Marius Lăcătuș,2,,,,,2,,
Viorel Moldovan,2,,,,,,,2
Dan Petrescu,2,,,,,,1,1
Iuliu Barátky,1,,,1,,,,
Silviu Bindea,1,,,1,,,,
Emerich Dembrovschi,1,,,,1,,,
Adalbert Deșu,1,1,,,,,,
Adrian Ilie,1,,,,,,,1
Nicolae Kovács,1,1,,,,,,
Alexandru Neagu,1,,,,1,,,
Constantin Stanciu,1,1,,,,,,
Total,30,3,1,4,4,4,10,4
