Player,Goals,1958,1962,1966,1970,1982,1986,1990
Valentin Ivanov,5,1,4,,,,,
Igor Belanov,4,,,,,,4,
Anatoliy Byshovets,4,,,,4,,,
Igor Chislenko,4,,2,2,,,,
Valeriy Porkuyan,4,,,4,,,,
Eduard Malofeyev,3,,,3,,,,
Oleg Blokhin,2,,,,,1,1,
Aleksandr Ivanov,2,2,,,,,,
Viktor Ponedelnik,2,,2,,,,,
Aleksandr Zavarov,2,,,,,,1,1
Sergei Aleinikov,1,,,,,,1,
Kakhi Asatiani,1,,,,1,,,
Andriy Bal,1,,,,,1,,
Sergei Baltacha,1,,,,,1,,
Anatoliy Banishevskiy,1,,,1,,,,
Aleksandr Chivadze,1,,,,,1,,
Igor Dobrovolski,1,,,,,,,1
Yuri Gavrilov,1,,,,,1,,
Anatoli Ilyin,1,1,,,,,,
Vitaly Khmelnitsky,1,,,,1,,,
Aleksei Mamykin,1,,1,,,,,
Khoren Hovhannisyan,1,,,,,1,,
Oleg Protasov,1,,,,,,,1
Vasiliy Rats,1,,,,,,1,
Sergey Rodionov,1,,,,,,1,
Ramaz Shengelia,1,,,,,1,,
Nikita Simonyan,1,1,,,,,,
Pavel Yakovenko,1,,,,,,1,
Ivan Yaremchuk,1,,,,,,1,
Andrei Zygmantovich,1,,,,,,,1
Own goals,1,,,,,,1,
Total,53,5,9,10,6,7,12,4
