Player,Goals,1934,1950,1962,1966,1978,1982,1986,1990,1994,1998,2002,2006,2010,2014,2018
David Villa,9,,,,,,,,,,,,3,5,1,
Emilio Butragueño,5,,,,,,,5,,,,,,,,
Fernando Hierro,5,,,,,,,,,1,2,2,,,,
Fernando Morientes,5,,,,,,,,,,2,3,,,,
Raúl,5,,,,,,,,,,1,3,1,,,
Estanislao Basora,4,,4,,,,,,,,,,,,,
Míchel,4,,,,,,,,4,,,,,,,
Fernando Torres,4,,,,,,,,,,,,3,,1,
Telmo Zarra,4,,4,,,,,,,,,,,,,
José Luis Caminero,3,,,,,,,,,3,,,,,,
Julio Salinas,3,,,,,,,1,1,1,,,,,,
Xabi Alonso,2,,,,,,,,,,,,1,,1,
Ramón Calderé,2,,,,,,,2,,,,,,,,
Diego Costa,2,,,,,,,,,,,,,,,2
Andoni Goikoetxea,2,,,,,,,,,2,,,,,,
Silvestre Igoa,2,,2,,,,,,,,,,,,,
Andrés Iniesta,2,,,,,,,,,,,,,2,,
José Iraragorri,2,2,,,,,,,,,,,,,,
Luis Enrique,2,,,,,,,,,1,1,,,,,
Abelardo,1,,,1,,,,,,,,,,,,
Amancio Amaro,1,,,,1,,,,,,,,,,,
Juan Manuel Asensi,1,,,,,1,,,,,,,,,,
Txiki Begiristain,1,,,,,,,,,1,,,,,,
Dani,1,,,,,1,,,,,,,,,,
Eloy,1,,,,,,,1,,,,,,,,
Josep Maria Fusté,1,,,,1,,,,,,,,,,,
Andoni Goikoetxea,1,,,,,,,1,,,,,,,,
Alberto Górriz,1,,,,,,,,1,,,,,,,
Pep Guardiola,1,,,,,,,,,1,,,,,,
Juanito,1,,,,,,1,,,,,,,,,
Juanito,1,,,,,,,,,,,,1,,,
Kiko,1,,,,,,,,,,1,,,,,
Isidro Lángara,1,1,,,,,,,,,,,,,,
Roberto López Ufarte,1,,,,,,1,,,,,,,,,
Juan Mata,1,,,,,,,,,,,,,,1,
Gaizka Mendieta,1,,,,,,,,,,,1,,,,
Nacho,1,,,,,,,,,,,,,,,1
Joaquín Peiró,1,,,1,,,,,,,,,,,,
Pirri,1,,,,1,,,,,,,,,,,
Carles Puyol,1,,,,,,,,,,,,,1,,
Luis Regueiro,1,1,,,,,,,,,,,,,,
Manuel Sanchís,1,,,,1,,,,,,,,,,,
Enrique Saura,1,,,,,,1,,,,,,,,,
Juan Antonio Señor,1,,,,,,,1,,,,,,,,
Juan Carlos Valerón,1,,,,,,,,,,,1,,,,
Jesús María Zamora,1,,,,,,1,,,,,,,,,
Own goals,1,,,,,,,,,,1,,,,,
Total,95,4,10,2,4,2,4,11,6,10,8,10,9,8,4,3
