Player,Goals,1934,1938,1950,1958,1970,1974,1978,1990,1994,2002,2006,2018
Kennet Andersson,5,,,,,,,,,5,,,
Henrik Larsson,5,,,,,,,,,1,3,1,
Tomas Brolin,4,,,,,,,,1,3,,,
Martin Dahlin,4,,,,,,,,,4,,,
Ralf Edström,4,,,,,,4,,,,,,
Kurt Hamrin,4,,,,4,,,,,,,,
Agne Simonsson,4,,,,4,,,,,,,,
Harry Andersson,3,,3,,,,,,,,,,
Sven Jonasson,3,2,1,,,,,,,,,,
Arne Nyberg,3,,3,,,,,,,,,,
Karl-Erik Palmér,3,,,3,,,,,,,,,
Stig Sundqvist,3,,,3,,,,,,,,,
Gustav Wetterström,3,,3,,,,,,,,,,
Sune Andersson,2,,,2,,,,,,,,,
Hasse Jeppson,2,,,2,,,,,,,,,
Nils Liedholm,2,,,,2,,,,,,,,
Roland Sandberg,2,,,,,,2,,,,,,
Niclas Alexandersson,1,,,,,,,,,,1,,
Marcus Allbäck,1,,,,,,,,,,,1,
Gösta Dunker,1,1,,,,,,,,,,,
Johnny Ekström,1,,,,,,,,1,,,,
Ove Grahn,1,,,,,1,,,,,,,
Gunnar Gren,1,,,,1,,,,,,,,
Tore Keller,1,,1,,,,,,,,,,
Knut Kroon,1,1,,,,,,,,,,,
Roger Ljung,1,,,,,,,,,1,,,
Fredrik Ljungberg,1,,,,,,,,,,,1,
Bror Mellberg,1,,,1,,,,,,,,,
Håkan Mild,1,,,,,,,,,1,,,
Thomas Sjöberg,1,,,,,,,1,,,,,
Lennart Skoglund,1,,,,1,,,,,,,,
Glenn Strömberg,1,,,,,,,,1,,,,
Anders Svensson,1,,,,,,,,,,1,,
Conny Torstensson,1,,,,,,1,,,,,,
Tom Turesson,1,,,,,1,,,,,,,
Total,74,4,11,11,12,2,7,1,3,15,5,3,0
