Player,Goals,1934,1938,1950,1954,1962,1966,1994,2006,2010,2014,2018
Josef Hügi,6,,,,6,,,,,,,
André Abegglen,4,1,3,,,,,,,,,
Robert Ballaman,4,,,,4,,,,,,,
Jacques Fatton,3,,,2,1,,,,,,,
Leopold Kielholz,3,3,,,,,,,,,,
Xherdan Shaqiri,3,,,,,,,,,,3,
Alexander Frei,2,,,,,,,,2,,,
Adrian Knup,2,,,,,,,2,,,,
Charles Antenen,1,,,1,,,,,,,,
René Bader,1,,,1,,,,,,,,
Tranquillo Barnetta,1,,,,,,,,1,,,
Alfred Bickel,1,,1,,,,,,,,,
Georges Bregy,1,,,,,,,1,,,,
Stéphane Chapuisat,1,,,,,,,1,,,,
Blerim Džemaili,1,,,,,,,,,,1,
Gélson Fernandes,1,,,,,,,,,1,,
Willy Jäggi,1,1,,,,,,,,,,
Admir Mehmedi,1,,,,,,,,,,1,
René-Pierre Quentin,1,,,,,,1,,,,,
Heinz Schneiter,1,,,,,1,,,,,,
Haris Seferović,1,,,,,,,,,,1,
Philippe Senderos,1,,,,,,,,1,,,
Alain Sutter,1,,,,,,,1,,,,
Eugen Walaschek,1,,1,,,,,,,,,
Rolf Wüthrich,1,,,,,1,,,,,,
Granit Xhaka,1,,,,,,,,,,1,
Steven Zuber,1,,,,,,,,,,,1
Total,46,5,5,4,11,2,1,5,4,1,7,1
