Player,Goals,1930,1950,1954,1962,1966,1970,1974,1986,1990,2002,2010,2014,2018
Óscar Míguez,8,,5,3,,,,,,,,,,
Diego Forlán,6,,,,,,,,,,1,5,,
Pedro Cea,5,5,,,,,,,,,,,,
Juan Alberto Schiaffino,5,,3,2,,,,,,,,,,
Luis Suárez,5,,,,,,,,,,,3,2,
Carlos Borges,4,,,4,,,,,,,,,,
Alcides Ghiggia,4,,4,,,,,,,,,,,
Peregrino Anselmo,3,3,,,,,,,,,,,,
Juan Hohberg,3,,,3,,,,,,,,,,
Julio Abbadie,2,,,2,,,,,,,,,,
Héctor Castro,2,2,,,,,,,,,,,,
Edinson Cavani,2,,,,,,,,,,,1,1,
Luis Cubilla,2,,,,1,,1,,,,,,,
Pablo Dorado,2,2,,,,,,,,,,,,
Santos Iriarte,2,2,,,,,,,,,,,,
José Sasía,2,,,,2,,,,,,,,,
Obdulio Varela,2,,1,1,,,,,,,,,,
Antonio Alzamendi,1,,,,,,,,1,,,,,
Javier Ambrois,1,,,1,,,,,,,,,,
Pablo Bengoechea,1,,,,,,,,,1,,,,
Ángel Cabrera,1,,,,1,,,,,,,,,
Julio César Cortés,1,,,,,1,,,,,,,,
Víctor Espárrago,1,,,,,,1,,,,,,,
Enzo Francescoli,1,,,,,,,,1,,,,,
Daniel Fonseca,1,,,,,,,,,1,,,,
José Giménez,1,,,,,,,,,,,,,1
Diego Godín,1,,,,,,,,,,,,1,
Ildo Maneiro,1,,,,,,1,,,,,,,
Richard Morales,1,,,,,,,,,,1,,,
Juan Mujica,1,,,,,,1,,,,,,,
Ricardo Pavoni,1,,,,,,,1,,,,,,
Álvaro Pereira,1,,,,,,,,,,,1,,
Maxi Pereira,1,,,,,,,,,,,1,,
Julio Pérez,1,,1,,,,,,,,,,,
Álvaro Recoba,1,,,,,,,,,,1,,,
Pedro Rocha,1,,,,,1,,,,,,,,
Darío Rodríguez,1,,,,,,,,,,1,,,
Héctor Scarone,1,1,,,,,,,,,,,,
Ernesto Vidal,1,,1,,,,,,,,,,,
Total,80,15,15,16,4,2,4,1,2,2,4,11,4,1
