Player,Goals,1930,1950,1954,1958,1962,1974,1982,1990,1998
Dražan Jerković,4,,,,,4,,,,
Ivan Bek,3,3,,,,,,,,
Dušan Bajević,3,,,,,,3,,,
Dragan Stojković,3,,,,,,,,2,1
Todor Veselinović,3,,,,3,,,,,
Željko Čajkovski,2,,2,,,,,,,
Milan Galić,2,,,,,3,,,,
Davor Jozić,2,,,,,,,,2,
Stanislav Karasi,2,,,,,,2,,,
Slobodan Komljenović,2,,,,,,,,,2
Darko Pančev,2,,,,,,,,2,
Aleksandar Petaković,2,,,,2,,,,,
Ivica Šurjak,2,,,,,,2,,,
Kosta Tomašević,2,,2,,,,,,,
Đorđe Vujadinović,2,2,,,,,,,,
Stjepan Bobek,1,,1,,,,,,,
Vladislav Bogićević,1,,,,,,1,,,
Dragan Džajić,1,,,,,,1,,,
Ivan Gudelj,1,,,,,,,1,,
Josip Katalinski,1,,,,,,1,,,
Blagoje Marjanović,1,1,,,,,,,,
Siniša Mihajlović,1,,,,,,,,,1
Predrag Mijatović,1,,,,,,,,,1
Miloš Milutinović,1,,,1,,,,,,
Vojislav Melić,1,,,,,1,,,,
Rajko Mitić,1,,1,,,,,,,
Branko Oblak,1,,,,,,1,,,
Tihomir Ognjanov,1,,1,,,,,,,
Radivoje Ognjanović,1,,,,1,,,,,
Ilija Petković,1,,,,,,1,,,
Vladimir Petrović,1,,,,,,,1,,
Robert Prosinečki,1*,,,,,,,,1,
Petar Radaković,1,,,,,1,,,,
Zdravko Rajkov,1,,,,1,,,,,
Josip Skoblar,1,,,,,1,,,,
Safet Sušić,1,,,,,,,,1,
Aleksandar Tirnanić,1,1,,,,,,,,
Branko Zebec,1,,,1,,,,,,
Total,60,7,7,2,7,10,12,2,8,5
