Italy
No.,Pos.,Player,Date of birth (age),Caps,Club
-,DF,Luigi Allemandi,18 November 1903 (aged 30),9,Ambrosiana-Inter
-,FW,Pietro Arcari,2 December 1909 (aged 24),0,Milan
-,MF,Luigi Bertolini,13 September 1904 (aged 29),19,Juventus
-,FW,Felice Borel,5 April 1914 (aged 20),2,Juventus
-,DF,Umberto Caligaris (c),26 July 1901 (aged 32),59,Juventus
-,MF,Armando Castellazzi,7 October 1904 (aged 29),2,Ambrosiana-Inter
-,GK,Giuseppe Cavanna,18 September 1905 (aged 28),0,Napoli
-,GK,Gianpiero Combi,20 November 1902 (aged 31),42,Juventus
-,FW,Attilio Demaria,19 March 1909 (aged 25),1,Ambrosiana-Inter
-,FW,Giovanni Ferrari,6 December 1907 (aged 26),19,Juventus
-,MF,Attilio Ferraris,26 March 1904 (aged 30),22,Roma
-,FW,Enrique Guaita,11 July 1910 (aged 23),2,Roma
-,FW,Anfilogino Guarisi,26 December 1905 (aged 28),5,Lazio
-,GK,Guido Masetti,22 November 1907 (aged 26),0,Roma
-,MF,Giuseppe Meazza,23 August 1910 (aged 23),22,Ambrosiana-Inter
-,MF,Luis Monti,15 May 1901 (aged 33),10,Juventus
-,DF,Eraldo Monzeglio,5 June 1906 (aged 27),12,Bologna
-,FW,Raimundo Orsi,2 December 1901 (aged 32),27,Juventus
-,MF,Mario Pizziolo,7 December 1909 (aged 24),8,Fiorentina
-,DF,Virginio Rosetta,25 February 1902 (aged 32),51,Juventus
-,FW,Angelo Schiavio,15 October 1905 (aged 28),17,Bologna
-,MF,Mario Varglien,26 December 1905 (aged 28),0,Juventus
Czechoslovakia
No.,Pos.,Player,Date of birth (age),Caps,Club
-,MF,Jaroslav Bouček,13 November 1912 (aged 21),1,Sparta Prague
-,DF,Jaroslav Burgr,7 March 1906 (aged 28),31,Sparta Prague
-,MF,Štefan Čambal,17 December 1908 (aged 25),14,Slavia Prague
-,DF,Josef Čtyřoký,30 September 1906 (aged 27),18,Sparta Prague
-,DF,Ferdinand Daučík,31 May 1910 (aged 23),1,ČsŠK Bratislava
-,FW,František Junek,17 January 1907 (aged 27),26,Slavia Prague
-,FW,Géza Kalocsay,30 May 1913 (aged 20),1,Sparta Prague
-,MF,Vlastimil Kopecký,14 October 1912 (aged 21),4,Slavia Prague
-,MF,Josef Košťálek,31 August 1909 (aged 24),11,Sparta Prague
-,MF,Rudolf Krčil,5 March 1906 (aged 28),12,Slavia Prague
-,FW,Oldřich Nejedlý,25 December 1909 (aged 24),14,Sparta Prague
-,GK,Čestmír Patzel,2 December 1914 (aged 19),0,Teplitzer FK
-,GK,František Plánička (c),2 June 1904 (aged 29),48,Slavia Prague
-,FW,Antonín Puč,16 May 1907 (aged 27),42,Slavia Prague
-,FW,Josef Silný,23 January 1902 (aged 32),49,Nîmes
-,MF,Adolf Šimperský,5 August 1909 (aged 24),10,Slavia Prague
-,FW,Jiří Sobotka,6 June 1911 (aged 22),3,Slavia Prague
-,FW,Erich Srbek,4 June 1908 (aged 25),6,Sparta Prague
*,MF,František Šterc,27 January 1912 (aged 22),0,SK Židenice
-,FW,František Svoboda,5 July 1905 (aged 28),39,Slavia Prague
-,MF,Antonín Vodička,1 March 1907 (aged 27),14,Slavia Prague
-,DF,Ladislav Ženíšek,7 March 1904 (aged 30),15,Slavia Prague
Germany
No.,Pos.,Player,Date of birth (age),Caps,Club
*,MF,Ernst Albrecht,12 November 1907 (aged 26),17,Fortuna Düsseldorf
-,MF,Jakob Bender,23 March 1910 (aged 24),3,Fortuna Düsseldorf
