Germany
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Fritz Herkenrath,9 September 1928 (aged 29),15,Rot-Weiss Essen
2,DF,Herbert Erhardt,6 July 1930 (aged 27),17,SpVgg Fürth
3,DF,Erich Juskowiak,7 September 1926 (aged 31),20,Fortuna Düsseldorf
4,MF,Horst Eckel,8 February 1932 (aged 26),27,1. FC Kaiserslautern
5,DF,Heinz Wewers,27 July 1927 (aged 30),11,Rot-Weiss Essen
6,MF,Horst Szymaniak,29 August 1934 (aged 23),9,Wuppertaler SV
7,DF,Georg Stollenwerk,19 December 1930 (aged 27),8,1. FC Köln
8,FW,Helmut Rahn,16 August 1929 (aged 28),22,Rot-Weiss Essen
9,MF,Fritz Walter,31 October 1920 (aged 37),56,1. FC Kaiserslautern
10,FW,Aki Schmidt,5 September 1935 (aged 22),7,BV Borussia Dortmund
11,FW,Hans Schäfer (captain),19 October 1927 (aged 30),27,1. FC Köln
12,FW,Uwe Seeler,5 November 1936 (aged 21),4,Hamburger SV
13,FW,Bernhard Klodt,26 October 1926 (aged 31),16,FC Schalke 04
14,FW,Hans Cieslarczyk,3 May 1937 (aged 21),3,SV Sodingen
15,FW,Alfred Kelbassa,21 April 1925 (aged 33),5,BV Borussia Dortmund
16,FW,Hans Sturm,3 September 1935 (aged 22),1,1. FC Köln
17,DF,Karl-Heinz Schnellinger,31 March 1939 (aged 19),1,SG Düren 99
18,MF,Rudi Hoffmann*,11 February 1935 (aged 23),1,VfB Stuttgart
19,MF,Wolfgang Peters*,8 January 1929 (aged 29),1,BV Borussia Dortmund
20,DF,Hermann Nuber*,10 October 1935 (aged 22),0,Kickers Offenbach
21,GK,Günter Sawitzki*,22 November 1932 (aged 25),4,VfB Stuttgart
22,GK,Heinz Kwiatkowski,16 July 1926 (aged 31),3,BV Borussia Dortmund
Northern Ireland
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Harry Gregg,25 October 1932 (aged 25),10,Manchester United
2,DF,Willie Cunningham,20 February 1930 (aged 28),16,Leicester City
3,DF,Alf McMichael,1 October 1927 (aged 30),29,Newcastle United
