Russia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Lev Yashin,22 October 1929 (aged 32),42,Dynamo Moscow
2,GK,Vladimir Maslachenko,5 March 1936 (aged 26),8,Lokomotiv Moscow
3,GK,Sergey Kotrikadze,9 August 1936 (aged 25),0,Dinamo Tbilisi
4,DF,Eduard Dubinski,6 April 1935 (aged 27),9,CSKA Moscow
5,DF,Givi Chokheli,27 June 1937 (aged 24),16,Dinamo Tbilisi
6,DF,Leonid Ostrovskiy,17 January 1936 (aged 26),3,Torpedo Moscow
7,DF,Anatoli Maslyonkin,26 June 1930 (aged 31),29,Spartak Moscow
8,MF,Albert Shesternyov,20 June 1941 (aged 20),1,CSKA Moscow
9,MF,Nikolai Manoshin,6 March 1938 (aged 24),8,Torpedo Moscow
10,MF,Igor Netto (captain),9 January 1930 (aged 32),48,Spartak Moscow
11,MF,Yozhef Sabo,1 March 1940 (aged 22),0,Dynamo Kyiv
12,DF,Valery Voronin,17 July 1939 (aged 22),14,Torpedo Moscow
13,FW,Gennadi Gusarov,11 March 1937 (aged 25),5,Torpedo Moscow
14,FW,Valentin Ivanov,19 November 1934 (aged 27),39,Torpedo Moscow
15,FW,Viktor Kanevski,3 October 1936 (aged 25),3,Dynamo Kyiv
16,FW,Aleksei Mamykin,29 February 1936 (aged 26),7,CSKA Moscow
17,FW,Mikhail Meskhi,12 January 1937 (aged 25),18,Dinamo Tbilisi
18,MF,Slava Metreveli,30 May 1936 (aged 26),19,Torpedo Moscow
19,FW,Viktor Ponedelnik,22 May 1937 (aged 25),15,SKA Rostov
20,FW,Viktor Serebryanikov,29 March 1940 (aged 22),0,Dynamo Kyiv
21,MF,Galimzyan Khusainov,27 June 1937 (aged 24),3,Spartak Moscow
22,MF,Igor Chislenko,8 September 1939 (aged 22),5,Dynamo Moscow
Yugoslavia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Milutin Šoškić,31 December 1937 (aged 24),29,Partizan Belgrade
2,DF,Vladimir Durković,6 November 1937 (aged 24),33,Red Star Belgrade
3,DF,Fahrudin Jusufi,8 December 1939 (aged 22),29,Partizan Belgrade
4,MF,Petar Radaković,2 February 1937 (aged 25),9,Rijeka
5,DF,Vlatko Marković,1 January 1937 (aged 25),7,Dinamo Zagreb
6,DF,Vladica Popović,17 March 1935 (aged 27),3,Red Star Belgrade
7,FW,Andrija Anković,16 July 1937 (aged 24),7,Hajduk Split
8,MF,Dragoslav Šekularac,8 November 1937 (aged 24),29,Red Star Belgrade
9,FW,Dražan Jerković,6 August 1936 (aged 25),9,Dinamo Zagreb
10,MF,Milan Galić (captain),8 March 1938 (aged 24),28,Partizan Belgrade
11,FW,Josip Skoblar,12 March 1941 (aged 21),2,OFK Belgrade
12,GK,Srboljub Krivokuća,14 March 1928 (aged 34),7,OFK Belgrade
