England
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Gordon Banks,30 December 1937 (aged 28),27,Leicester City
2,DF,George Cohen,22 October 1939 (aged 26),24,Fulham
3,DF,Ray Wilson,17 December 1934 (aged 31),45,Everton
4,MF,Nobby Stiles,18 May 1942 (aged 24),14,Manchester United
5,DF,Jack Charlton,8 May 1935 (aged 31),16,Leeds United
6,DF,Bobby Moore (captain),12 April 1941 (aged 25),41,West Ham United
7,MF,Alan Ball,12 May 1945 (aged 21),10,Blackpool
8,FW,Jimmy Greaves,20 February 1940 (aged 26),51,Tottenham Hotspur
9,MF,Bobby Charlton,11 October 1937 (aged 28),68,Manchester United
10,FW,Geoff Hurst,8 December 1941 (aged 24),4,West Ham United
11,FW,John Connelly,18 July 1938 (aged 27),19,Manchester United
12,GK,Ron Springett,22 July 1935 (aged 30),33,Sheffield Wednesday
13,GK,Peter Bonetti,27 September 1941 (aged 24),1,Chelsea
14,DF,Jimmy Armfield,21 September 1935 (aged 30),43,Blackpool
15,DF,Gerry Byrne,29 August 1938 (aged 27),2,Liverpool
16,MF,Martin Peters,8 November 1943 (aged 22),3,West Ham United
17,MF,Ron Flowers,28 July 1934 (aged 31),49,Wolverhampton Wanderers
18,DF,Norman Hunter,29 October 1943 (aged 22),4,Leeds United
19,FW,Terry Paine,23 March 1939 (aged 27),18,Southampton
20,MF,Ian Callaghan,10 April 1942 (aged 24),1,Liverpool
21,FW,Roger Hunt,20 July 1938 (aged 27),13,Liverpool
22,MF,George Eastham,23 September 1936 (aged 29),19,Arsenal
France
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Marcel Aubour,17 June 1940 (aged 26),11,Lyon
2,DF,Marcel Artelesa (captain),2 July 1938 (aged 28),17,Monaco
3,FW,Edmond Baraffe,19 October 1942 (aged 23),3,Toulouse
4,MF,Joseph Bonnel,4 January 1939 (aged 27),18,Valenciennes
5,DF,Bernard Bosquier,19 June 1942 (aged 24),9,Sochaux
6,DF,Robert Budzynski,21 May 1940 (aged 26),4,Nantes
7,DF,André Chorda,20 February 1938 (aged 28),20,Bordeaux
8,FW,Nestor Combin,29 December 1940 (aged 25),6,Varese
9,FW,Didier Couécou,25 July 1944 (aged 21),0,Bordeaux
10,DF,Héctor De Bourgoing,23 July 1934 (aged 31),2,Bordeaux
11,DF,Gabriel De Michele,6 March 1941 (aged 25),0,Nantes
12,DF,Jean Djorkaeff,27 October 1939 (aged 26),7,Lyon
13,FW,Philippe Gondet,17 May 1942 (aged 24),5,Nantes
14,FW,Gérard Hausser,18 March 1939 (aged 27),9,Strasbourg
15,MF,Yves Herbet,17 August 1945 (aged 20),4,Sedan
16,MF,Robert Herbin,30 March 1939 (aged 27),17,Saint-Étienne
17,MF,Lucien Muller,3 September 1934 (aged 31),16,Barcelona
18,DF,Jean-Claude Piumi,27 May 1940 (aged 26),2,Valenciennes
19,FW,Laurent Robuschi,5 October 1935 (aged 30),4,Bordeaux
20,MF,Jacques Simon,25 March 1941 (aged 25),5,Nantes
21,GK,Georges Carnus,13 August 1942 (aged 23),1,Stade Français
22,GK,Johnny Schuth,7 December 1941 (aged 24),0,Strasbourg
Mexico
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Antonio Carbajal,7 June 1929 (aged 37),,Leon
2,DF,Arturo Chaires,14 March 1937 (aged 29),,Guadalajara
3,DF,Gustavo Peña (captain),22 November 1941 (aged 24),,Oro
4,DF,Jesús del Muro,30 November 1937 (aged 28),,Veracruz
5,MF,Ignacio Jáuregui,31 July 1938 (aged 27),,Monterrey
6,MF,Isidoro Díaz,14 March 1940 (aged 26),,Guadalajara
7,FW,Felipe Ruvalcaba,16 February 1941 (aged 25),,Oro
8,FW,Aarón Padilla,10 July 1942 (aged 24),,UNAM Pumas
9,MF,Ernesto Cisneros,26 October 1940 (aged 25),,Atlas
10,FW,Javier Fragoso,19 April 1942 (aged 24),,América
11,FW,Francisco Jara,3 February 1941 (aged 25),,Guadalajara
12,GK,Ignacio Calderón,13 December 1943 (aged 22),,Guadalajara
13,MF,José Luis González,14 September 1942 (aged 23),,Necaxa
14,DF,Gabriel Núñez,6 February 1942 (aged 24),,Zacatepec
15,MF,Guillermo Hernández,25 June 1942 (aged 24),,Atlas
16,MF,Luis Regueiro,22 December 1943 (aged 22),,UNAM Pumas
17,MF,Magdaleno Mercado,4 April 1944 (aged 22),,Atlas
18,FW,Elías Muñoz,3 November 1941 (aged 24),,UNAM Pumas
19,FW,Salvador Reyes,20 September 1936 (aged 29),,Guadalajara
20,FW,Enrique Borja,20 December 1945 (aged 20),,UNAM Pumas
21,FW,Ramiro Navarro,25 May 1943 (aged 23),,Oro
22,GK,Javier Vargas,22 November 1941 (aged 24),,Atlas
Uruguay
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Ladislao Mazurkiewicz,14 February 1945 (aged 21),6,Peñarol
2,DF,Horacio Troche (captain),14 February 1936 (aged 30),25,Cerro
3,DF,Jorge Manicera,4 November 1938 (aged 27),15,Nacional
4,MF,Pablo Forlán,14 July 1945 (aged 20),2,Peñarol
5,DF,Néstor Gonçalves,27 April 1936 (aged 30),37,Peñarol
6,MF,Omar Caetano,8 November 1938 (aged 27),12,Peñarol
7,MF,Julio César Cortés,29 March 1941 (aged 25),12,Peñarol
8,FW,José Urruzmendi,25 August 1944 (aged 21),12,Nacional
9,FW,José Sasía,27 December 1933 (aged 32),43,Defensor Sporting
10,FW,Pedro Rocha,3 December 1942 (aged 23),20,Peñarol
11,FW,Domingo Pérez,7 June 1936 (aged 30),19,Nacional
12,GK,Roberto Sosa,14 June 1935 (aged 31),19,Nacional
13,DF,Nelson Díaz,12 January 1942 (aged 24),8,Peñarol
