Mexico
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Ignacio Calderón,13 December 1943 (aged 26),,Guadalajara
2,DF,Juan Manuel Alejandrez,17 May 1944 (aged 26),,Cruz Azul
3,DF,Gustavo Peña (c),22 November 1941 (aged 28),,Cruz Azul
4,DF,Francisco Montes,22 April 1943 (aged 27),,Veracruz
5,DF,Mario Pérez,30 July 1946 (aged 23),,América
6,DF,Guillermo Hernández,25 June 1942 (aged 27),,América
7,MF,Marcos Rivas,25 November 1947 (aged 22),,Atlante
8,MF,Antonio Munguía,27 June 1942 (aged 27),,Cruz Azul
9,FW,Enrique Borja,30 December 1945 (aged 24),,América
10,FW,Horacio López Salgado,15 September 1948 (aged 21),,América
11,FW,Aarón Padilla,10 July 1942 (aged 27),,UNAM Pumas
12,GK,Antonio Mota,26 January 1939 (aged 31),,Necaxa
13,DF,José Vantolrá,30 March 1943 (aged 27),,Toluca
14,DF,Javier Guzmán,9 January 1945 (aged 25),,Cruz Azul
15,MF,Héctor Pulido,20 December 1942 (aged 27),,Cruz Azul
16,FW,Isidoro Díaz,14 March 1940 (aged 30),,León
17,MF,José Luis González,14 September 1942 (aged 27),,UNAM Pumas
18,MF,Mario Velarde,29 March 1940 (aged 30),,UNAM Pumas
19,FW,Javier Valdivia,4 December 1941 (aged 28),,Guadalajara
20,MF,Juan Ignacio Basaguren,21 July 1944 (aged 25),,Atlante
21,FW,Javier Fragoso,19 April 1942 (aged 28),,América
22,GK,Francisco Castrejón,11 June 1947 (aged 22),,UNAM Pumas
Russia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Leonid Shmuts,8 October 1948 (aged 21),0,CSKA Moscow
2,GK,Anzor Kavazashvili,19 July 1940 (aged 29),25,Spartak Moscow
3,DF,Valentin Afonin,22 December 1939 (aged 30),38,SKA Rostov
4,DF,Revaz Dzodzuashvili,15 April 1945 (aged 25),10,Dinamo Tblisi
5,DF,Vladimir Kaplichny,26 February 1944 (aged 26),22,CSKA Moscow
6,DF,Evgeny Lovchev,29 January 1949 (aged 21),10,Spartak Moscow
7,DF,Gennady Logofet,15 April 1942 (aged 28),15,Spartak Moscow
8,DF,Murtaz Khurtsilava,5 January 1943 (aged 27),39,Dinamo Tblisi
9,DF,Albert Shesternyov (c),20 June 1941 (aged 28),74,CSKA Moscow
10,MF,Valery Zykov,24 February 1944 (aged 26),1,Dynamo Moscow
11,MF,Kakhi Asatiani,1 January 1947 (aged 23),10,Dinamo Tblisi
12,MF,Nikolay Kiselyov,29 January 1946 (aged 24),8,Spartak Moscow
13,GK,Lev Yashin,22 October 1929 (aged 40),74,Dynamo Moscow
14,MF,Vladimir Muntyan,14 September 1946 (aged 23),13,Dynamo Kyiv
15,MF,Viktor Serebryanikov,29 March 1940 (aged 30),19,Dynamo Kyiv
16,FW,Anatoliy Byshovets,23 April 1946 (aged 24),29,Dynamo Kyiv
17,FW,Gennady Yevriuzhikin,4 February 1944 (aged 26),13,Dynamo Moscow
18,FW,Slava Metreveli,30 May 1936 (aged 34),48,Dinamo Tblisi
19,FW,Givi Nodia,2 January 1948 (aged 22),10,Dinamo Tblisi
20,FW,Anatoliy Puzach,3 June 1941 (aged 28),10,Dynamo Kyiv
21,FW,Vitaly Khmelnitsky,12 June 1943 (aged 26),13,Dynamo Kyiv
22,FW,Valeriy Porkujan,4 October 1944 (aged 25),8,Chornomorets Odesa
Belgium
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Christian Piot,4 October 1947 (aged 22),2,Standard Liège
2,DF,Georges Heylens,8 August 1941 (aged 28),48,Anderlecht
3,DF,Jean Thissen,21 April 1946 (aged 24),12,Standard Liège
4,DF,Nicolas Dewalque,20 September 1945 (aged 24),12,Standard Liège
5,DF,Léon Jeck,2 February 1947 (aged 23),10,Standard Liège
6,MF,Jean Dockx,24 May 1941 (aged 29),11,RWD Molenbeek
7,MF,Léon Semmeling,4 January 1940 (aged 30),21,Standard Liège
8,MF,Wilfried Van Moer,1 March 1945 (aged 25),16,Standard Liège
9,FW,Johan Devrindt,14 April 1944 (aged 26),16,Anderlecht
10,FW,Paul Van Himst (c),2 October 1943 (aged 26),55,Anderlecht
11,FW,Wilfried Puis,18 February 1943 (aged 27),41,Anderlecht
12,GK,Jean-Marie Trappeniers,13 January 1942 (aged 28),15,Anderlecht
13,DF,Jacques Beurlet,21 December 1944 (aged 25),7,Standard Liège
14,MF,Maurice Martens,5 June 1947 (aged 22),0,Anderlecht
15,MF,Erwin Vandendaele,5 March 1945 (aged 25),1,Club Brugge
16,MF,Odilon Polleunis,1 May 1943 (aged 27),12,Sint-Truiden
17,MF,Jan Verheyen,9 July 1944 (aged 25),21,Beerschot
18,FW,Raoul Lambert,20 October 1944 (aged 25),7,Club Brugge
19,FW,Pierre Carteus,24 September 1943 (aged 26),0,Club Brugge
20,MF,Alfons Peeters,21 January 1943 (aged 27),6,Anderlecht
21,FW,Frans Janssens,25 September 1945 (aged 24),0,Lierse
22,GK,Jacques Duquesne,22 April 1940 (aged 30),0,Olympic Charleroi
El Salvador
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Raúl Magaña,24 February 1940 (aged 30),,FAS
2,DF,Roberto Rivas,17 July 1941 (aged 28),,Alianza
3,DF,Salvador Mariona (c),16 December 1943 (aged 26),,Alianza
4,DF,Santiago Cortés,19 January 1945 (aged 25),,Atlético Marte
5,DF,Saturnino Osorio,6 January 1945 (aged 25),,Águila
6,MF,José Quintanilla,29 October 1947 (aged 22),,Atlético Marte
7,MF,Mauricio Rodríguez,12 September 1945 (aged 24),,Universidad
8,MF,Jorge Vásquez,23 April 1945 (aged 25),,Universidad
9,MF,Juan Ramón Martínez,20 April 1948 (aged 22),,Águila
10,FW,Salvador Cabezas,28 February 1947 (aged 23),,Adler San Nicolas
11,FW,Ernesto Aparicio,28 December 1948 (aged 21),,Atlético Marte
12,FW,Mario Monge,27 November 1938 (aged 31),,FAS
13,GK,Tomas Pineda,1 January 1939 (aged 31),,Alianza
14,DF,Mauricio Manzano,30 September 1943 (aged 26),,FAS
15,FW,David Cabrera,12 September 1945 (aged 24),,FAS
16,MF,Genaro Sarmeno,28 November 1948 (aged 21),,FAS
17,FW,Jaime Portillo,18 September 1947 (aged 22),,Alianza
18,DF,Guillermo Castro,25 June 1940 (aged 29),,Atlético Marte
19,MF,Sergio Méndez,14 February 1942 (aged 28),,Atlético Marte
20,GK,Gualberto Fernández,12 July 1941 (aged 28),,Atlante San Alejo
21,FW,Elmer Acevedo,24 February 1946 (aged 24),,FAS
22,MF,Alberto Villalta,19 November 1947 (aged 22),,Atlético Marte
Italy
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Enrico Albertosi,2 November 1939 (aged 30),21,Cagliari
2,DF,Tarcisio Burgnich,25 April 1939 (aged 31),33,Internazionale
3,DF,Giacinto Facchetti (c),18 July 1942 (aged 27),46,Internazionale
4,DF,Fabrizio Poletti,13 July 1943 (aged 26),4,Torino
5,DF,Pierluigi Cera,25 February 1941 (aged 29),2,Cagliari
6,MF,Ugo Ferrante,18 July 1945 (aged 24),1,Fiorentina
7,MF,Comunardo Niccolai,15 December 1946 (aged 23),1,Cagliari
8,MF,Roberto Rosato,18 August 1943 (aged 26),18,Milan
9,DF,Giorgio Puia,8 March 1938 (aged 32),7,Torino
10,DF,Mario Bertini,7 January 1944 (aged 26),9,Internazionale
11,FW,Luigi Riva,7 November 1944 (aged 25),16,Cagliari
12,GK,Dino Zoff,28 February 1942 (aged 28),10,Napoli
13,FW,Angelo Domenghini,25 August 1941 (aged 28),22,Cagliari
14,MF,Gianni Rivera,18 August 1942 (aged 27),38,Milan
15,MF,Sandro Mazzola,8 November 1942 (aged 27),37,Internazionale
16,MF,Giancarlo De Sisti,13 March 1943 (aged 27),12,Fiorentina
17,GK,Lido Vieri,16 July 1939 (aged 30),4,Internazionale
18,DF,Antonio Juliano,1 January 1943 (aged 27),14,Napoli
19,FW,Sergio Gori,24 February 1946 (aged 24),0,Cagliari
20,FW,Roberto Boninsegna,13 November 1943 (aged 26),1,Internazionale
21,DF,Giuseppe Furino,5 July 1946 (aged 23),0,Juventus
22,FW,Pierino Prati,13 December 1946 (aged 23),6,Milan
Sweden
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Ronnie Hellström,21 February 1949 (aged 21),12,Hammarby IF
2,DF,Hans Selander,15 March 1945 (aged 25),28,Helsingborgs IF
