Argentina
No.,Pos.,Player,Date of birth (age),Caps,Club
1,MF,Norberto Alonso,4 January 1953 (aged 25),,River Plate
2,MF,Osvaldo Ardiles,3 August 1952 (aged 25),,Huracán
3,GK,Héctor Baley,16 November 1950 (aged 27),,Huracán
4,FW,Daniel Bertoni,14 March 1955 (aged 23),,Independiente
5,GK,Ubaldo Fillol,21 July 1950 (aged 27),7,River Plate
6,MF,Américo Gallego,25 April 1955 (aged 23),35,Newell's Old Boys
7,DF,Luis Galván,24 February 1948 (aged 30),,Talleres de Córdoba
8,MF,Rubén Galván,7 April 1952 (aged 26),,Independiente
9,FW,René Houseman,19 July 1953 (aged 24),,Huracán
10,FW,Mario Kempes,15 July 1954 (aged 23),24,Valencia
11,DF,Daniel Killer,21 December 1949 (aged 28),,Racing Club
12,MF,Omar Larrosa,18 November 1947 (aged 30),,Independiente
13,GK,Ricardo La Volpe,6 February 1952 (aged 26),,San Lorenzo
14,FW,Leopoldo Luque,3 May 1949 (aged 29),28,River Plate
15,DF,Jorge Olguin,17 May 1952 (aged 26),23,San Lorenzo
16,FW,Oscar Ortiz,8 April 1953 (aged 25),,River Plate
17,MF,Miguel Oviedo,12 October 1950 (aged 27),,Talleres de Córdoba
18,DF,Rubén Pagnanini,31 January 1949 (aged 29),,Independiente
19,DF,Daniel Passarella (c),25 May 1953 (aged 25),19,River Plate
20,DF,Alberto Tarantini,3 December 1955 (aged 22),26,Free agent
21,MF,José Daniel Valencia,3 October 1955 (aged 22),,Talleres de Córdoba
22,MF,Ricardo Villa,18 August 1952 (aged 25),,Racing Club
France
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Dominique Baratelli,26 December 1947 (aged 30),18,Nice
2,DF,Patrick Battiston,12 March 1957 (aged 21),5,Metz
3,DF,Maxime Bossis,26 June 1955 (aged 22),11,Nantes
4,DF,Gérard Janvion,21 August 1953 (aged 24),15,Saint-Étienne
5,DF,François Bracci,3 November 1951 (aged 26),15,Marseille
6,DF,Christian Lopez,15 March 1953 (aged 25),12,Saint-Étienne
7,DF,Patrice Rio,15 August 1948 (aged 29),15,Nantes
8,DF,Marius Trésor (c),15 January 1950 (aged 28),36,Marseille
9,MF,Dominique Bathenay,13 February 1954 (aged 24),12,Saint-Étienne
10,MF,Jean-Marc Guillou,20 December 1945 (aged 32),18,Nice
11,MF,Henri Michel,28 October 1947 (aged 30),52,Nantes
12,MF,Claude Papi,16 April 1949 (aged 29),2,Bastia
13,MF,Jean Petit,25 September 1949 (aged 28),3,Monaco
14,FW,Marc Berdoll,6 April 1953 (aged 25),10,Marseille
15,MF,Michel Platini,21 June 1955 (aged 22),15,Nancy
16,FW,Christian Dalger,19 December 1949 (aged 28),5,Monaco
17,FW,Bernard Lacombe,15 August 1952 (aged 25),14,Lyon
18,MF,Dominique Rocheteau,14 January 1955 (aged 23),10,Saint-Étienne
19,MF,Didier Six,21 August 1954 (aged 23),15,Lens
20,FW,Olivier Rouyer,1 December 1955 (aged 22),9,Nancy
21,GK,Jean-Paul Bertrand-Demanes,23 May 1952 (aged 26),9,Nantes
22,GK,Dominique Dropsy,9 December 1951 (aged 26),0,Strasbourg
Hungary
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Sándor Gujdár,8 November 1951 (aged 26),19,Budapest Honvéd
2,DF,Péter Török,18 April 1951 (aged 27),29,Vasas
3,DF,István Kocsis,6 October 1949 (aged 28),6,Budapest Honvéd
4,MF,József Tóth,2 December 1951 (aged 26),25,Újpesti Dózsa
5,MF,Sándor Zombori,31 October 1951 (aged 26),16,Vasas
6,DF,Zoltán Kereki (c),13 July 1953 (aged 24),24,Haladás
7,FW,László Fazekas,15 October 1947 (aged 30),71,Újpesti Dózsa
8,FW,Tibor Nyilasi,18 January 1955 (aged 23),26,Ferencváros
9,FW,András Törőcsik,1 May 1955 (aged 23),11,Újpesti Dózsa
10,MF,Sándor Pintér,18 July 1950 (aged 27),32,Budapest Honvéd
11,FW,Béla Várady,12 April 1953 (aged 25),28,Vasas
12,DF,Győző Martos,15 December 1949 (aged 28),11,Ferencváros
13,MF,Károly Csapó,23 February 1952 (aged 26),5,Tatabányai
14,DF,László Bálint,1 February 1948 (aged 30),54,Ferencváros
15,DF,Tibor Rab,2 October 1955 (aged 22),11,Ferencváros
16,MF,István Halász,12 October 1951 (aged 26),3,Tatabányai
17,FW,László Pusztai,1 March 1946 (aged 32),22,Ferencváros
18,MF,László Nagy,21 October 1949 (aged 28),21,Újpesti Dózsa
19,FW,András Tóth,5 September 1949 (aged 28),14,Újpesti Dózsa
20,MF,Ferenc Fülöp,22 February 1955 (aged 23),0,MTK
21,GK,Ferenc Mészáros,11 April 1950 (aged 28),13,Vasas
22,GK,László Kovács,24 April 1951 (aged 27),12,Videoton
Italy
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Dino Zoff (c),28 February 1942 (aged 36),63,Juventus
2,DF,Mauro Bellugi,7 February 1950 (aged 28),22,Bologna
3,DF,Antonio Cabrini,8 October 1957 (aged 20),0,Juventus
4,DF,Antonello Cuccureddu,4 October 1949 (aged 28),6,Juventus
5,DF,Claudio Gentile,27 September 1953 (aged 24),16,Juventus
6,DF,Aldo Maldera,14 October 1953 (aged 24),5,Milan
7,DF,Lionello Manfredonia,27 November 1956 (aged 21),3,Lazio
8,DF,Gaetano Scirea,25 May 1953 (aged 25),9,Juventus
