Cameroon
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Thomas N'Kono (c),20 July 1956 (aged 25),39,Canon Yaoundé
2,DF,Michel Kaham,1 June 1952 (aged 30),NA,Stade Quimperois
3,DF,Edmond Enoka,17 December 1955 (aged 26),NA,Dragon Douala
4,DF,René N'Djeya,9 October 1953 (aged 28),NA,Union Douala
5,DF,Elie Onana,13 October 1951 (aged 30),NA,Fédéral Sporting FC du Noun
6,DF,Emmanuel Kundé,15 July 1956 (aged 25),19,Canon Yaoundé
7,MF,Ephrem M'Bom,18 July 1954 (aged 27),NA,Canon Yaoundé
8,MF,Grégoire M'Bida,27 January 1955 (aged 27),NA,Canon Yaoundé
9,FW,Roger Milla,20 May 1952 (aged 30),34,Bastia
10,MF,Jean-Pierre Tokoto,26 January 1948 (aged 34),NA,Philadelphia Fever
11,MF,Charles Toubé,22 January 1958 (aged 24),NA,Tonnerre Yaoundé
12,GK,Joseph-Antoine Bell,8 October 1954 (aged 27),NA,Africa Sports
13,FW,Paul Bahoken,7 July 1955 (aged 26),NA,Cannes
14,MF,Théophile Abega,9 July 1954 (aged 27),NA,Canon Yaoundé
15,DF,François N'Doumbé,30 January 1954 (aged 28),31,Union Douala
16,DF,Ibrahim Aoudou,23 August 1955 (aged 26),21,Cannes
17,MF,Joseph Kamga,17 August 1953 (aged 28),NA,Union Douala
18,FW,Jacques N'Guea,8 November 1955 (aged 26),NA,Canon Yaoundé
19,MF,Joseph Enanga,18 November 1956 (aged 25),NA,Union Douala
20,FW,Oscar Eyobo,23 October 1961 (aged 20),NA,Dynamo Douala
21,FW,Ernest Ebongué,15 May 1962 (aged 20),6,Tonnerre Yaoundé
22,GK,Simon Tchobang,31 August 1951 (aged 30),NA,Dynamo Douala
Italy
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Dino Zoff (c),28 February 1942 (aged 40),99,Juventus
2,DF,Franco Baresi,8 May 1960 (aged 22),0,Milan
3,DF,Giuseppe Bergomi,22 December 1963 (aged 18),1,Internazionale
4,DF,Antonio Cabrini,8 October 1957 (aged 24),33,Juventus
5,DF,Fulvio Collovati,9 May 1957 (aged 25),26,Milan
6,DF,Claudio Gentile,27 September 1953 (aged 28),56,Juventus
7,DF,Gaetano Scirea,25 May 1953 (aged 29),49,Juventus
8,DF,Pietro Vierchowod,6 April 1959 (aged 23),2,Fiorentina
9,MF,Giancarlo Antognoni,1 April 1954 (aged 28),60,Fiorentina
10,MF,Giuseppe Dossena,2 May 1958 (aged 24),9,Torino
11,MF,Giampiero Marini,25 February 1951 (aged 31),11,Internazionale
12,GK,Ivano Bordon,13 April 1951 (aged 31),13,Internazionale
13,MF,Gabriele Oriali,25 November 1952 (aged 29),20,Internazionale
14,MF,Marco Tardelli,24 September 1954 (aged 27),55,Juventus
15,FW,Franco Causio,1 February 1949 (aged 33),58,Udinese
16,FW,Bruno Conti,13 March 1955 (aged 27),13,Roma
17,FW,Daniele Massaro,23 May 1961 (aged 21),1,Fiorentina
18,FW,Alessandro Altobelli,28 November 1955 (aged 26),10,Internazionale
19,FW,Francesco Graziani,16 December 1952 (aged 29),53,Fiorentina
20,FW,Paolo Rossi,23 September 1956 (aged 25),20,Juventus
21,FW,Franco Selvaggi,15 May 1953 (aged 29),3,Cagliari
22,GK,Giovanni Galli,29 April 1958 (aged 24),0,Fiorentina
Peru
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Eusebio Acasuzo,8 April 1952 (aged 30),NA,Universitario
2,DF,Jaime Duarte,27 February 1955 (aged 27),NA,Alianza Lima
3,DF,Salvador Salguero,10 August 1951 (aged 30),NA,Alianza Lima
4,DF,Hugo Gastulo,9 January 1958 (aged 24),NA,Universitario
5,MF,Germán Leguía,2 January 1954 (aged 28),NA,Universitario
