Austria
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Klaus Lindenberger,28 May 1957 (aged 33),37,Swarovski Tirol
2,DF,Ernst Aigner,31 October 1966 (aged 23),7,Austria Vienna
3,DF,Robert Pecl,15 November 1965 (aged 24),19,Rapid Vienna
4,DF,Anton Pfeffer,17 August 1965 (aged 24),21,Austria Vienna
5,DF,Peter Schöttel,26 March 1967 (aged 23),11,Rapid Vienna
6,MF,Manfred Zsak,22 December 1964 (aged 25),28,Austria Vienna
7,DF,Kurt Russ,23 November 1964 (aged 25),20,First Vienna FC
8,DF,Peter Artner,20 May 1966 (aged 24),21,Admira Wacker
9,FW,Toni Polster (c),10 March 1964 (aged 26),36,Sevilla
10,MF,Manfred Linzmaier,27 August 1962 (aged 27),19,Swarovski Tirol
11,MF,Alfred Hörtnagl,24 September 1966 (aged 23),10,Swarovski Tirol
12,MF,Michael Baur,16 April 1969 (aged 21),1,Swarovski Tirol
13,FW,Andreas Ogris,7 October 1964 (aged 25),28,Austria Vienna
14,FW,Gerhard Rodax,29 August 1965 (aged 24),16,Admira Wacker
15,FW,Christian Keglevits,29 January 1961 (aged 29),15,Rapid Vienna
16,MF,Andreas Reisinger,14 October 1963 (aged 26),6,Rapid Vienna
17,FW,Heimo Pfeifenberger,29 December 1966 (aged 23),3,Rapid Vienna
18,DF,Michael Streiter,19 January 1966 (aged 24),8,Swarovski Tirol
19,MF,Gerald Glatzmayer,14 December 1968 (aged 21),5,First Vienna FC
20,MF,Andreas Herzog,10 September 1968 (aged 21),16,Rapid Vienna
21,GK,Michael Konsel,6 March 1962 (aged 28),5,Rapid Vienna
22,GK,Otto Konrad,1 November 1964 (aged 25),2,Sturm Graz
Czechoslovakia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Jan Stejskal,15 January 1962 (aged 28),16,Sparta Prague
2,DF,Július Bielik,8 March 1962 (aged 28),16,Sparta Prague
3,DF,Miroslav Kadlec,22 June 1964 (aged 25),20,TJ Vítkovice
4,MF,Ivan Hašek (c),6 September 1963 (aged 26),42,Sparta Prague
5,DF,Ján Kocian,13 March 1958 (aged 32),13,FC St. Pauli
6,DF,František Straka,21 May 1958 (aged 32),32,Borussia Mönchengladbach
7,MF,Michal Bílek,13 April 1965 (aged 25),20,Sparta Prague
8,MF,Jozef Chovanec,7 March 1960 (aged 30),42,PSV
9,MF,Luboš Kubík,20 January 1964 (aged 26),21,Fiorentina
10,FW,Tomáš Skuhravý,7 September 1965 (aged 24),22,Sparta Prague
11,MF,Ľubomír Moravčík,22 June 1965 (aged 24),16,Plastika Nitra
12,DF,Peter Fieber,16 May 1964 (aged 26),3,Dunajská Streda
13,MF,Jiří Němec,15 May 1966 (aged 24),1,Dukla Prague
14,MF,Vladimír Weiss,22 September 1964 (aged 25),15,Inter Bratislava
15,DF,Vladimír Kinier,6 April 1958 (aged 32),9,Slovan Bratislava
16,FW,Viliam Hýravý,26 November 1962 (aged 27),10,Baník Ostrava
17,FW,Ivo Knoflíček,23 February 1962 (aged 28),28,FC St. Pauli
18,FW,Milan Luhový,1 January 1963 (aged 27),28,Sporting Gijón
19,FW,Stanislav Griga,4 November 1961 (aged 28),32,Feyenoord
20,MF,Václav Němeček,25 January 1967 (aged 23),17,Sparta Prague
21,GK,Luděk Mikloško,9 December 1961 (aged 28),32,West Ham United
22,GK,Peter Palúch,17 February 1958 (aged 32),0,Plastika Nitra
Italy
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Walter Zenga,28 April 1960 (aged 30),35,Internazionale
2,DF,Franco Baresi,8 May 1960 (aged 30),39,Milan
3,DF,Giuseppe Bergomi (c),22 December 1963 (aged 26),65,Internazionale
4,DF,Luigi De Agostini,7 April 1961 (aged 29),24,Juventus
5,DF,Ciro Ferrara,11 February 1967 (aged 23),16,Napoli
6,DF,Riccardo Ferri,20 August 1963 (aged 26),29,Internazionale
7,DF,Paolo Maldini,26 June 1968 (aged 21),19,Milan
8,DF,Pietro Vierchowod,6 April 1959 (aged 31),29,Sampdoria
9,MF,Carlo Ancelotti,10 June 1959 (aged 30),22,Milan
10,MF,Nicola Berti,14 April 1967 (aged 23),11,Internazionale
11,MF,Fernando De Napoli,15 March 1964 (aged 26),38,Napoli
12,GK,Stefano Tacconi,13 May 1957 (aged 33),5,Juventus
13,MF,Giuseppe Giannini,20 August 1964 (aged 25),34,Roma
14,MF,Giancarlo Marocchi,4 July 1965 (aged 24),7,Juventus
15,FW,Roberto Baggio,18 February 1967 (aged 23),8,Fiorentina
16,FW,Andrea Carnevale,12 January 1961 (aged 29),8,Napoli
17,MF,Roberto Donadoni,9 September 1963 (aged 26),29,Milan
18,FW,Roberto Mancini,27 November 1964 (aged 25),20,Sampdoria
19,FW,Salvatore Schillaci,1 December 1964 (aged 25),1,Juventus
20,FW,Aldo Serena,25 June 1960 (aged 29),18,Internazionale
21,FW,Gianluca Vialli,9 July 1964 (aged 25),42,Sampdoria
22,GK,Gianluca Pagliuca,18 December 1966 (aged 23),0,Sampdoria
United States
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Tony Meola,21 February 1969 (aged 21),17,Virginia Cavaliers
2,DF,Steve Trittschuh,24 April 1965 (aged 25),29,Tampa Bay Rowdies
3,DF,John Doyle,16 March 1966 (aged 24),21,S.F. Bay Blackhawks
4,DF,Jimmy Banks,2 September 1964 (aged 25),26,Milwaukee Wave
5,DF,Mike Windischmann (c),6 December 1965 (aged 24),42,Albany Capitals
6,MF,John Harkes,8 March 1967 (aged 23),28,Albany Capitals
7,MF,Tab Ramos,21 September 1966 (aged 23),23,Figueres
8,DF,Brian Bliss,28 September 1965 (aged 24),23,Albany Capitals
9,FW,Christopher Sullivan,18 April 1965 (aged 25),15,Győri
10,FW,Peter Vermes,21 November 1966 (aged 23),20,Volendam
11,FW,Eric Wynalda,9 June 1969 (aged 20),13,S.F. Bay Blackhawks
12,DF,Paul Krumpe,4 March 1963 (aged 27),16,Real Santa Barbara
13,FW,Eric Eichmann,7 May 1965 (aged 25),21,Fort Lauderdale Strikers
14,MF,John Stollmeyer,25 October 1962 (aged 27),28,Washington Stars
15,DF,Desmond Armstrong,2 November 1964 (aged 25),14,Baltimore Blast
16,FW,Bruce Murray,25 January 1966 (aged 24),38,Washington Stars
17,DF,Marcelo Balboa,8 August 1967 (aged 22),18,San Diego Sockers
18,GK,Kasey Keller,29 November 1969 (aged 20),6,Portland Timbers
19,MF,Chris Henderson,11 December 1970 (aged 19),5,UCLA Bruins
20,MF,Paul Caligiuri,9 March 1964 (aged 26),33,SV Meppen
21,MF,Neil Covone,31 August 1969 (aged 20),5,Wake Forest Demon Deacons
22,GK,David Vanole,6 February 1963 (aged 27),13,Los Angeles Heat
Argentina
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Nery Pumpido*,30 July 1957 (aged 32),N/A,Real Betis
2,MF,Sergio Batista,9 November 1962 (aged 27),N/A,River Plate
3,FW,Abel Balbo,1 June 1966 (aged 24),N/A,Udinese
4,MF,José Basualdo,20 June 1963 (aged 26),N/A,VfB Stuttgart
5,DF,Edgardo Bauza,26 January 1958 (aged 32),N/A,Veracruz
6,MF,Gabriel Calderón,7 February 1960 (aged 30),N/A,Paris Saint-Germain
7,MF,Jorge Burruchaga,9 October 1962 (aged 27),52,Nantes
8,FW,Claudio Caniggia,9 January 1967 (aged 23),N/A,Atalanta
9,FW,Gustavo Dezotti,14 February 1964 (aged 26),N/A,Cremonese
10,MF,Diego Maradona (c),30 October 1960 (aged 29),73,Napoli
11,DF,Néstor Fabbri,29 April 1968 (aged 22),N/A,Racing Club
12,GK,Sergio Goycochea,17 October 1963 (aged 26),N/A,Millonarios
13,DF,Néstor Lorenzo,28 February 1966 (aged 24),N/A,Bari
14,MF,Ricardo Giusti,11 December 1956 (aged 33),N/A,Independiente
15,DF,Pedro Monzón,23 February 1962 (aged 28),N/A,Independiente
16,DF,Julio Olarticoechea,18 October 1958 (aged 31),N/A,Racing Club
17,DF,Roberto Néstor Sensini,12 October 1966 (aged 23),16,Udinese
