Colombia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Óscar Córdoba,3 February 1970 (aged 24),27,América de Cali
2,DF,Andrés Escobar,13 March 1967 (aged 27),N/A,Atlético Nacional
3,DF,Alexis Mendoza,8 November 1961 (aged 32),N/A,Atlético Junior
4,DF,Luis Fernando Herrera,12 June 1962 (aged 32),N/A,Atlético Nacional
5,MF,Hermán Gaviria,27 November 1969 (aged 24),N/A,Atlético Nacional
6,MF,Gabriel Gómez,8 December 1959 (aged 34),N/A,Atlético Nacional
7,FW,Antony de Ávila,21 December 1962 (aged 31),N/A,América de Cali
8,MF,John Harold Lozano,30 March 1972 (aged 22),N/A,América de Cali
9,FW,Iván Valenciano,18 March 1972 (aged 22),N/A,Atlético Junior
10,MF,Carlos Valderrama (c),2 September 1961 (aged 32),65,Atlético Junior
11,FW,Adolfo Valencia,6 February 1968 (aged 26),N/A,Bayern Munich
12,GK,Faryd Mondragón,21 June 1971 (aged 22),N/A,Argentinos Juniors
13,DF,Néstor Ortiz,20 September 1968 (aged 25),N/A,Once Caldas
14,MF,Leonel Álvarez,29 July 1965 (aged 28),73,América de Cali
15,DF,Luis Carlos Perea,29 December 1963 (aged 30),76,Atlético Junior
16,FW,Víctor Aristizábal,9 December 1971 (aged 22),N/A,Atlético Nacional
17,MF,Mauricio Serna,22 January 1968 (aged 26),N/A,Atlético Nacional
18,DF,Óscar Cortés,19 October 1968 (aged 25),N/A,Millonarios
19,MF,Freddy Rincón,14 August 1966 (aged 27),42,Palmeiras
20,DF,Wilson Pérez,6 August 1967 (aged 26),N/A,América de Cali
21,FW,Faustino Asprilla,10 November 1969 (aged 24),12,Parma
22,GK,José María Pazo,4 April 1964 (aged 30),N/A,Atlético Junior
Romania
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Florin Prunea,8 August 1968 (aged 25),21,Dinamo București
2,DF,Dan Petrescu,22 December 1967 (aged 26),33,Genoa
3,DF,Daniel Prodan,23 March 1972 (aged 22),12,Steaua București
4,DF,Miodrag Belodedici,20 May 1964 (aged 30),32,Valencia
5,MF,Ioan Lupescu,9 December 1968 (aged 25),30,Bayer Leverkusen
6,MF,Gheorghe Popescu,9 October 1967 (aged 26),45,PSV
7,MF,Dorinel Munteanu,25 June 1968 (aged 25),28,Cercle Brugge
8,MF,Iulian Chiriță,2 February 1967 (aged 27),3,Rapid București
9,FW,Florin Răducioiu,17 March 1970 (aged 24),25,Milan
10,MF,Gheorghe Hagi (c),5 February 1965 (aged 29),81,Brescia
11,FW,Ilie Dumitrescu,6 January 1969 (aged 25),38,Steaua București
12,GK,Bogdan Stelea,5 December 1967 (aged 26),18,Rapid București
13,DF,Tibor Selymes,14 May 1970 (aged 24),11,Cercle Brugge
14,DF,Gheorghe Mihali,9 December 1965 (aged 28),19,Dinamo București
15,MF,Basarab Panduru,11 July 1970 (aged 23),11,Steaua București
16,FW,Ion Vlădoiu,5 November 1968 (aged 25),6,Rapid București
17,FW,Viorel Moldovan,8 July 1972 (aged 21),4,Dinamo București
18,MF,Constantin Gâlcă,8 March 1972 (aged 22),7,Steaua București
19,DF,Corneliu Papură,5 September 1973 (aged 20),5,Universitatea Craiova
20,MF,Ovidiu Stîngă,5 December 1972 (aged 21),9,Universitatea Craiova
21,FW,Marian Ivan,6 January 1969 (aged 25),3,Brașov
22,GK,Ștefan Preda,18 June 1970 (aged 23),1,Petrolul Ploiești
Switzerland
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Marco Pascolo,9 May 1966 (aged 28),18,Servette
2,DF,Marc Hottiger,7 November 1967 (aged 26),41,Sion
3,DF,Yvan Quentin,2 May 1970 (aged 24),14,Sion
4,MF,Dominique Herr,25 October 1965 (aged 28),39,Sion
5,DF,Alain Geiger (c),5 November 1960 (aged 33),94,Sion
6,MF,Georges Bregy,17 January 1958 (aged 36),50,Young Boys
7,MF,Alain Sutter,22 January 1968 (aged 26),46,1. FC Nürnberg
8,DF,Christophe Ohrel,7 April 1968 (aged 26),28,Servette
9,FW,Adrian Knup,2 July 1968 (aged 25),34,VfB Stuttgart
10,MF,Ciriaco Sforza,2 March 1970 (aged 24),23,1. FC Kaiserslautern
11,FW,Stéphane Chapuisat,28 June 1969 (aged 24),36,Borussia Dortmund
12,GK,Stephan Lehmann,15 August 1963 (aged 30),6,Sion
13,DF,André Egli,8 May 1958 (aged 36),79,Servette
14,FW,Nestor Subiat,23 April 1966 (aged 28),7,Lugano
15,FW,Marco Grassi,8 August 1968 (aged 25),9,Servette
16,MF,Thomas Bickel,6 October 1963 (aged 30),41,Grasshopper
17,MF,Sébastien Fournier,27 June 1971 (aged 22),4,Sion
18,DF,Martin Rueda,9 January 1963 (aged 31),5,Lucerne
19,DF,Jürg Studer,8 September 1966 (aged 27),5,Zürich
20,MF,Patrick Sylvestre,1 September 1968 (aged 25),9,Lausanne
21,MF,Thomas Wyss,29 August 1966 (aged 27),5,Aarau
22,GK,Martin Brunner,23 April 1963 (aged 31),33,Grasshopper
United States
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Tony Meola (c),21 February 1969 (aged 25),N/A,United States Soccer Federation
2,DF,Mike Lapper,28 September 1970 (aged 23),N/A,Los Angeles Heat
3,DF,Mike Burns,14 September 1970 (aged 23),N/A,United States Soccer Federation
4,DF,Cle Kooiman,4 July 1963 (aged 30),N/A,Cruz Azul
5,DF,Thomas Dooley,5 December 1961 (aged 32),N/A,United States Soccer Federation
6,MF,John Harkes,8 March 1967 (aged 27),45,Derby County
7,MF,Hugo Pérez,8 November 1963 (aged 30),N/A,Los Angeles Salsa
8,MF,Earnie Stewart,28 March 1969 (aged 25),16,Willem II
9,MF,Tab Ramos,21 September 1966 (aged 27),N/A,Real Betis
10,FW,Roy Wegerle,19 March 1964 (aged 30),N/A,Coventry City
11,FW,Eric Wynalda,9 June 1969 (aged 25),52,1. FC Saarbrücken
12,GK,Juergen Sommer,27 February 1969 (aged 25),N/A,Luton Town
13,MF,Cobi Jones,16 June 1970 (aged 24),50,United States Soccer Federation
14,FW,Frank Klopas,1 September 1966 (aged 27),N/A,United States Soccer Federation
15,FW,Joe-Max Moore,23 February 1971 (aged 23),34,United States Soccer Federation
16,MF,Mike Sorber,14 May 1971 (aged 23),N/A,United States Soccer Federation
17,DF,Marcelo Balboa,8 August 1967 (aged 26),88,United States Soccer Federation
18,GK,Brad Friedel,18 May 1971 (aged 23),N/A,United States Soccer Federation
19,MF,Claudio Reyna,20 July 1973 (aged 20),17,United States Soccer Federation
20,MF,Paul Caligiuri,9 March 1964 (aged 30),79,United States Soccer Federation
21,DF,Fernando Clavijo,23 January 1956 (aged 38),N/A,United States Soccer Federation
22,DF,Alexi Lalas,1 June 1970 (aged 24),44,United States Soccer Federation
Brazil
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Cláudio Taffarel,8 May 1966 (aged 28),59,Reggiana
2,DF,Jorginho,17 August 1964 (aged 29),45,Bayern Munich
3,DF,Ricardo Rocha,11 September 1962 (aged 31),36,Vasco da Gama
4,DF,Ronaldão,19 June 1965 (aged 28),7,Shimizu S-Pulse
5,MF,Mauro Silva,12 January 1968 (aged 26),35,Deportivo La Coruña
6,DF,Branco,4 April 1964 (aged 30),67,Fluminense
7,FW,Bebeto,16 February 1964 (aged 30),53,Deportivo La Coruña
8,MF,Dunga (c),31 October 1963 (aged 30),43,VfB Stuttgart
9,MF,Zinho,17 June 1967 (aged 27),30,Palmeiras
10,MF,Raí,15 May 1965 (aged 29),43,Paris Saint-Germain
11,FW,Romário,29 January 1966 (aged 28),31,Barcelona
12,GK,Zetti,10 January 1965 (aged 29),7,São Paulo
13,DF,Aldair,30 November 1965 (aged 28),21,Roma
14,DF,Cafu,7 June 1970 (aged 24),30,São Paulo
15,DF,Márcio Santos,15 September 1969 (aged 24),27,Bordeaux
16,DF,Leonardo,5 September 1969 (aged 24),12,São Paulo
17,MF,Mazinho,8 April 1966 (aged 28),29,Palmeiras
18,MF,Paulo Sérgio,2 June 1969 (aged 25),10,Bayer Leverkusen
19,FW,Müller,31 January 1966 (aged 28),53,São Paulo
20,FW,Ronaldo,22 September 1976 (aged 17),3,Cruzeiro
21,FW,Viola,1 January 1969 (aged 25),5,Corinthians
22,GK,Gilmar Rinaldi,13 January 1959 (aged 35),7,Flamengo
Cameroon
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Joseph-Antoine Bell,8 October 1954 (aged 39),N/A,Saint-Étienne
2,DF,André Kana-Biyik,1 September 1965 (aged 28),N/A,Le Havre
3,DF,Rigobert Song,1 July 1976 (aged 17),N/A,Tonnerre Yaounde
4,DF,Samuel Ekemé,12 July 1966 (aged 27),N/A,Canon Yaounde
5,DF,Victor N'Dip,18 August 1967 (aged 26),N/A,Olympic Mvolyé
6,MF,Thomas Libiih,17 November 1967 (aged 26),N/A,Ohud
7,FW,François Omam-Biyik,21 May 1966 (aged 28),N/A,Lens
8,MF,Emile M'Bouh,30 May 1966 (aged 28),N/A,Nadi Qatar
9,FW,Roger Milla,20 May 1952 (aged 42),N/A,Tonnerre Yaounde
10,FW,Louis-Paul M'Fédé,26 February 1961 (aged 33),N/A,Canon Yaounde
11,MF,Emmanuel Maboang,27 November 1968 (aged 25),N/A,Rio Ave
12,MF,Paul Loga,14 August 1969 (aged 24),N/A,Prevoyance Yaounde
13,DF,Raymond Kalla,22 April 1975 (aged 19),N/A,Canon Yaounde
14,DF,Stephen Tataw (c),31 March 1963 (aged 31),N/A,Olympic Mvolyé
15,DF,Hans Agbo,26 September 1967 (aged 26),N/A,Olympic Mvolyé
16,FW,Alphonse Tchami,14 September 1971 (aged 22),N/A,Odense
17,MF,Marc-Vivien Foé,1 May 1975 (aged 19),N/A,Canon Yaounde
18,MF,Jean-Pierre Fiala,22 April 1969 (aged 25),N/A,Canon Yaounde
19,FW,David Embé,13 November 1973 (aged 20),N/A,Belenenses
20,FW,Georges Mouyémé,15 April 1971 (aged 23),N/A,Troyes
21,GK,Thomas N'Kono,20 July 1956 (aged 37),N/A,CE L'Hospitalet
22,GK,Jacques Songo'o,17 March 1964 (aged 30),N/A,Metz
Russia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Stanislav Cherchesov,2 September 1963 (aged 30),19,Dynamo Dresden
2,DF,Dmitri Kuznetsov,28 August 1965 (aged 28),26,Espanyol
3,DF,Sergei Gorlukovich,18 November 1961 (aged 32),32,Bayer Uerdingen
4,DF,Dmitri Galiamin,8 January 1963 (aged 31),18,Espanyol
5,DF,Yuri Nikiforov,16 September 1970 (aged 23),8,Spartak Moscow
6,DF,Vladislav Ternavski,2 May 1969 (aged 25),2,Spartak Moscow
7,MF,Andrei Piatnitski,27 September 1967 (aged 26),9,Spartak Moscow
8,MF,Dmitri Popov,27 February 1967 (aged 27),11,Racing Santander
9,FW,Oleg Salenko,25 October 1969 (aged 24),5,Logroñés
10,MF,Valeri Karpin,2 February 1969 (aged 25),10,Spartak Moscow
11,FW,Vladimir Beschastnykh,1 April 1974 (aged 20),6,Spartak Moscow
12,DF,Omari Tetradze,13 October 1969 (aged 24),9,Dynamo Moscow
13,MF,Aleksandr Borodyuk,30 November 1962 (aged 31),13,SC Freiburg
14,MF,Igor Korneev,4 September 1967 (aged 26),13,Espanyol
15,FW,Dmitri Radchenko,2 December 1970 (aged 23),14,Racing Santander
16,GK,Dmitri Kharine (c),16 August 1968 (aged 25),22,Chelsea
17,MF,Ilya Tsymbalar,17 February 1969 (aged 25),2,Spartak Moscow
18,DF,Viktor Onopko,14 October 1969 (aged 24),21,Spartak Moscow
19,MF,Aleksandr Mostovoi,22 August 1968 (aged 25),20,Caen
20,MF,Igor Lediakhov,22 May 1968 (aged 26),15,Spartak Moscow
21,MF,Dmitri Khlestov,21 January 1971 (aged 23),12,Spartak Moscow
22,FW,Sergei Yuran,11 June 1969 (aged 25),26,Benfica
Sweden
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Thomas Ravelli,13 August 1959 (aged 34),110,IFK Göteborg
2,DF,Roland Nilsson,27 November 1963 (aged 30),62,Sheffield Wednesday
3,DF,Patrik Andersson,18 August 1971 (aged 22),23,Borussia Mönchengladbach
4,DF,Joachim Björklund,15 March 1971 (aged 23),22,IFK Göteborg
5,DF,Roger Ljung,8 January 1966 (aged 28),46,Galatasaray
6,MF,Stefan Schwarz,18 April 1969 (aged 25),29,Benfica
7,FW,Henrik Larsson,20 September 1971 (aged 22),7,Feyenoord
8,MF,Klas Ingesson,20 August 1968 (aged 25),42,PSV
9,MF,Jonas Thern (c),20 March 1967 (aged 27),47,Napoli
10,FW,Martin Dahlin,16 April 1968 (aged 26),29,Borussia Mönchengladbach
11,FW,Tomas Brolin,29 November 1969 (aged 24),31,Parma
12,GK,Lars Eriksson,21 September 1965 (aged 28),14,IFK Norrköping
13,DF,Mikael Nilsson,28 September 1968 (aged 25),12,IFK Göteborg
