Denmark
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Thomas Sørensen,12 June 1976 (aged 25),14,Sunderland
2,MF,Stig Tøfting,14 August 1969 (aged 32),36,Bolton Wanderers
3,DF,René Henriksen,27 August 1969 (aged 32),39,Panathinaikos
4,DF,Martin Laursen,26 July 1977 (aged 24),15,Milan
5,DF,Jan Heintze (c),17 August 1963 (aged 38),83,PSV
6,DF,Thomas Helveg,24 June 1971 (aged 30),67,Milan
7,MF,Thomas Gravesen,11 March 1976 (aged 26),22,Everton
8,MF,Jesper Grønkjær,12 August 1977 (aged 24),25,Chelsea
9,FW,Jon Dahl Tomasson,29 August 1976 (aged 25),38,Feyenoord
10,MF,Martin Jørgensen,6 October 1975 (aged 26),32,Udinese
11,FW,Ebbe Sand,19 July 1972 (aged 29),44,Schalke 04
12,DF,Niclas Jensen,17 August 1974 (aged 27),8,Manchester City
13,DF,Steven Lustü,13 April 1971 (aged 31),4,Lyn
14,MF,Claus Jensen,29 April 1977 (aged 25),13,Charlton Athletic
15,MF,Jan Michaelsen,28 November 1970 (aged 31),11,Panathinaikos
16,GK,Peter Kjær,5 November 1965 (aged 36),4,Aberdeen
17,MF,Christian Poulsen,28 February 1980 (aged 22),3,Copenhagen
18,FW,Peter Løvenkrands,29 January 1980 (aged 22),4,Rangers
19,MF,Dennis Rommedahl,22 July 1978 (aged 23),19,PSV
20,DF,Kasper Bøgelund,8 October 1980 (aged 21),2,PSV
21,FW,Peter Madsen,26 April 1978 (aged 24),4,Brøndby
22,GK,Jesper Christiansen,24 April 1978 (aged 24),0,Vejle
23,MF,Brian Steen Nielsen,28 December 1968 (aged 33),65,Malmö FF
France
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Ulrich Ramé,19 September 1972 (aged 29),11,Bordeaux
2,DF,Vincent Candela,24 October 1973 (aged 28),36,Roma
3,DF,Bixente Lizarazu,9 December 1969 (aged 32),74,Bayern Munich
4,MF,Patrick Vieira,23 June 1976 (aged 25),52,Arsenal
5,DF,Philippe Christanval,31 August 1978 (aged 23),4,Barcelona
6,MF,Youri Djorkaeff,9 March 1968 (aged 34),79,Bolton Wanderers
7,MF,Claude Makélélé,18 February 1973 (aged 29),14,Real Madrid
8,DF,Marcel Desailly (c),7 September 1968 (aged 33),93,Chelsea
9,FW,Djibril Cissé,12 August 1981 (aged 20),1,Auxerre
10,MF,Zinedine Zidane,23 June 1972 (aged 29),73,Real Madrid
11,FW,Sylvain Wiltord,10 May 1974 (aged 28),38,Arsenal
12,FW,Thierry Henry,17 August 1977 (aged 24),35,Arsenal
13,DF,Mikaël Silvestre,9 August 1977 (aged 24),10,Manchester United
14,MF,Alain Boghossian,27 October 1970 (aged 31),26,Parma
15,DF,Lilian Thuram,1 January 1972 (aged 30),73,Juventus
16,GK,Fabien Barthez,28 June 1971 (aged 30),47,Manchester United
17,MF,Emmanuel Petit,22 September 1970 (aged 31),57,Chelsea
18,DF,Frank Leboeuf,22 January 1968 (aged 34),47,Marseille
19,DF,Willy Sagnol,18 March 1977 (aged 25),9,Bayern Munich
20,FW,David Trezeguet,15 October 1977 (aged 24),36,Juventus
21,FW,Christophe Dugarry,24 March 1972 (aged 30),51,Bordeaux
22,MF,Johan Micoud,24 July 1973 (aged 28),14,Parma
23,GK,Grégory Coupet,31 December 1972 (aged 29),1,Lyon
Senegal
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Tony Sylva,17 May 1975 (aged 27),15,Monaco
2,DF,Omar Daf,12 February 1977 (aged 25),31,Sochaux
3,MF,Pape Sarr,7 December 1977 (aged 24),22,Lens
4,DF,Papa Malick Diop,29 December 1974 (aged 27),25,Lorient
5,DF,Alassane N'Dour,12 December 1981 (aged 20),7,Saint-Étienne
6,DF,Aliou Cissé (c),24 March 1976 (aged 26),20,Montpellier
7,FW,Henri Camara,10 May 1977 (aged 25),34,Sedan
8,FW,Amara Traoré,25 September 1965 (aged 36),12,Gueugnon
9,FW,Souleymane Camara,22 December 1982 (aged 19),9,Monaco
10,MF,Khalilou Fadiga,30 December 1974 (aged 27),25,Auxerre
11,FW,El Hadji Diouf,15 January 1981 (aged 21),21,Lens
12,MF,Amdy Faye,12 March 1977 (aged 25),6,Auxerre
13,DF,Lamine Diatta,2 July 1975 (aged 26),19,Rennes
14,MF,Moussa N'Diaye,20 February 1979 (aged 23),38,Sedan
15,MF,Salif Diao,10 February 1977 (aged 25),20,Sedan
16,GK,Omar Diallo,28 September 1972 (aged 29),42,Olympique Khouribga
17,DF,Ferdinand Coly,10 September 1973 (aged 28),16,Lens
18,FW,Pape Thiaw,5 February 1981 (aged 21),13,Strasbourg
19,MF,Papa Bouba Diop,28 January 1978 (aged 24),12,Lens
20,MF,Sylvain N'Diaye,25 June 1976 (aged 25),6,Lille
21,DF,Habib Beye,19 October 1977 (aged 24),6,Strasbourg
22,GK,Kalidou Cissokho,14 December 1972 (aged 29),0,ASC Jeanne d'Arc
23,MF,Makhtar N'Diaye,31 December 1981 (aged 20),11,Rennes
Uruguay
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Fabián Carini,26 December 1979 (aged 22),35,Juventus
2,DF,Gustavo Méndez,3 February 1971 (aged 31),45,Nacional
3,DF,Alejandro Lembo,15 February 1978 (aged 24),31,Nacional
4,DF,Paolo Montero (c),3 September 1971 (aged 30),45,Juventus
5,MF,Pablo García,11 May 1977 (aged 25),36,Venezia
6,DF,Darío Rodríguez,17 September 1974 (aged 27),21,Peñarol
7,MF,Gianni Guigou,22 February 1975 (aged 27),36,Roma
8,FW,Gustavo Varela,14 May 1978 (aged 24),7,Nacional
9,FW,Darío Silva,2 November 1972 (aged 29),36,Málaga
10,MF,Fabián O'Neill,14 October 1973 (aged 28),19,Perugia
11,FW,Federico Magallanes,22 August 1976 (aged 25),24,Venezia
12,GK,Gustavo Munúa,27 January 1978 (aged 24),9,Nacional
13,FW,Sebastián Abreu,17 October 1976 (aged 25),13,Cruz Azul
14,DF,Gonzalo Sorondo,9 October 1979 (aged 22),18,Inter Milan
15,FW,Nicolás Olivera,30 May 1978 (aged 24),26,Sevilla
16,MF,Marcelo Romero,4 July 1976 (aged 25),22,Málaga
17,MF,Mario Regueiro,14 September 1978 (aged 23),14,Racing Santander
18,FW,Richard Morales,21 February 1975 (aged 27),12,Nacional
19,DF,Joe Bizera,17 May 1980 (aged 22),9,Peñarol
20,MF,Álvaro Recoba,17 March 1976 (aged 26),43,Inter Milan
21,FW,Diego Forlán,19 May 1979 (aged 23),4,Manchester United
22,MF,Gonzalo de los Santos,19 July 1976 (aged 25),28,Valencia
23,GK,Federico Elduayen,25 June 1977 (aged 24),1,Peñarol
Paraguay
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,José Luis Chilavert (c),27 July 1965 (aged 36),69,Strasbourg
2,DF,Francisco Javier Arce,2 April 1971 (aged 31),51,Palmeiras
3,DF,Pedro Sarabia,5 July 1975 (aged 26),40,River Plate
4,DF,Carlos Gamarra,17 February 1971 (aged 31),76,AEK Athens
5,DF,Celso Ayala,20 August 1970 (aged 31),76,River Plate
6,MF,Estanislao Struway,25 June 1968 (aged 33),69,Libertad
7,FW,Richart Báez,31 July 1973 (aged 28),25,Olimpia
8,MF,Guido Alvarenga,24 August 1970 (aged 31),18,Léon
9,FW,Roque Santa Cruz,16 August 1981 (aged 20),24,Bayern Munich
10,MF,Roberto Acuña,25 March 1972 (aged 30),77,Real Zaragoza
11,FW,Jorge Luis Campos,11 August 1970 (aged 31),31,Universidad Católica
12,GK,Justo Villar,30 June 1977 (aged 24),8,Libertad
13,MF,Carlos Paredes,16 July 1976 (aged 25),41,Porto
14,MF,Diego Gavilán,1 March 1980 (aged 22),21,Tecos
15,MF,Carlos Bonet,2 October 1977 (aged 24),3,Libertad
16,MF,Gustavo Morínigo,23 January 1977 (aged 25),11,Libertad
17,DF,Juan Carlos Franco,17 April 1973 (aged 29),3,Olimpia
18,DF,Julio César Cáceres,5 October 1979 (aged 22),1,Olimpia
19,DF,Daniel Sanabria,8 February 1977 (aged 25),6,Libertad
20,FW,José Cardozo,19 March 1971 (aged 31),57,Toluca
21,DF,Denis Caniza,29 August 1974 (aged 27),49,Santos Laguna
22,GK,Ricardo Tavarelli,2 August 1970 (aged 31),20,Olimpia
23,FW,Nelson Cuevas,10 January 1980 (aged 22),11,River Plate
Slovenia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Marko Simeunovič,6 December 1967 (aged 34),43,Maribor
2,DF,Goran Sankovič,18 June 1979 (aged 22),5,Slavia Prague
3,DF,Željko Milinovič,12 October 1969 (aged 32),35,JEF United Ichihara
4,DF,Muamer Vugdalič,25 August 1977 (aged 24),13,Maribor
5,DF,Marinko Galič,22 April 1970 (aged 32),65,Koper
6,DF,Aleksander Knavs,5 December 1975 (aged 26),38,1. FC Kaiserslautern
7,MF,Džoni Novak,4 September 1969 (aged 32),68,SpVgg Unterhaching
8,MF,Aleš Čeh (c),7 April 1968 (aged 34),71,Grazer AK
9,FW,Milan Osterc,4 July 1975 (aged 26),41,Hapoel Tel Aviv
10,MF,Zlatko Zahovič*,1 February 1971 (aged 31),64,Benfica
11,MF,Miran Pavlin,8 October 1971 (aged 30),45,Porto
12,GK,Mladen Dabanovič,13 September 1971 (aged 30),20,Lokeren SNW
13,FW,Mladen Rudonja,26 July 1971 (aged 30),58,Portsmouth
14,DF,Saša Gajser,11 February 1974 (aged 28),20,Gent
15,MF,Rajko Tavčar,21 July 1974 (aged 27),6,1. FC Nürnberg
16,FW,Senad Tiganj,28 August 1975 (aged 26),3,Olimpija Ljubljana
17,MF,Zoran Pavlović,27 June 1976 (aged 25),21,Austria Wien
18,FW,Milenko Ačimovič,15 February 1977 (aged 25),39,Red Star Belgrade
19,DF,Amir Karić,31 December 1973 (aged 28),43,Maribor
20,MF,Nastja Čeh,26 January 1978 (aged 24),6,Club Brugge
21,FW,Sebastjan Cimirotič,14 September 1974 (aged 27),12,Lecce
22,GK,Dejan Nemec,1 March 1977 (aged 25),1,Club Brugge
23,DF,Spasoje Bulajič,24 November 1975 (aged 26),15,1. FC Köln
South Africa
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Hans Vonk,30 January 1970 (aged 32),29,Heerenveen
2,DF,Cyril Nzama,26 June 1974 (aged 27),19,Kaizer Chiefs
3,DF,Bradley Carnell,21 January 1977 (aged 25),21,VfB Stuttgart
4,DF,Aaron Mokoena,25 November 1980 (aged 21),22,Germinal Beerschot
5,DF,Jacob Lekgetho,24 March 1974 (aged 28),15,Lokomotiv Moscow
6,MF,MacBeth Sibaya,25 November 1977 (aged 24),9,Jomo Cosmos
7,MF,Quinton Fortune,21 May 1977 (aged 25),39,Manchester United
8,MF,Thabo Mngomeni,24 June 1969 (aged 32),37,Orlando Pirates
9,MF,MacDonald Mukansi,26 May 1975 (aged 27),7,Lokomotiv Sofia
10,MF,Bennett Mnguni,18 March 1974 (aged 28),9,Lokomotiv Moscow
11,MF,Jabu Pule,11 July 1980 (aged 21),9,Kaizer Chiefs
12,MF,Teboho Mokoena,10 July 1974 (aged 27),10,St. Gallen
13,DF,Pierre Issa,12 September 1975 (aged 26),41,Watford
14,FW,Siyabonga Nomvethe,2 December 1977 (aged 24),30,Udinese
15,MF,Sibusiso Zuma,23 June 1975 (aged 26),22,Copenhagen
16,GK,Andre Arendse,27 June 1967 (aged 34),49,Santos Cape Town
17,FW,Benni McCarthy,12 November 1977 (aged 24),43,Porto
18,MF,Delron Buckley,7 December 1977 (aged 24),32,VfL Bochum
19,DF,Lucas Radebe (c),12 April 1969 (aged 33),65,Leeds United
20,GK,Calvin Marlin,20 April 1976 (aged 26),2,Ajax Cape Town
21,MF,Steven Pienaar,17 March 1982 (aged 20),0,Ajax
22,DF,Thabang Molefe,11 April 1979 (aged 23),5,Jomo Cosmos
23,FW,George Koumantarakis,27 March 1974 (aged 28),6,Basel
Spain
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Iker Casillas,20 May 1981 (aged 21),13,Real Madrid
2,DF,Curro Torres,27 December 1976 (aged 25),4,Valencia
3,DF,Juanfran,15 July 1976 (aged 25),7,Celta Vigo
4,MF,Iván Helguera,18 March 1975 (aged 27),22,Real Madrid
5,DF,Carles Puyol,13 April 1978 (aged 24),8,Barcelona
6,DF,Fernando Hierro (c),23 March 1968 (aged 34),85,Real Madrid
7,FW,Raúl,27 June 1977 (aged 24),51,Real Madrid
8,MF,Rubén Baraja,11 July 1975 (aged 26),9,Valencia
9,FW,Fernando Morientes,5 April 1976 (aged 26),19,Real Madrid
10,FW,Diego Tristán,5 January 1976 (aged 26),7,Deportivo La Coruña
11,MF,Javier de Pedro,4 August 1973 (aged 28),5,Real Sociedad
12,FW,Albert Luque,11 March 1978 (aged 24),0,Mallorca
13,GK,Ricardo,30 December 1971 (aged 30),1,Real Valladolid
14,MF,David Albelda,1 September 1977 (aged 24),2,Valencia
15,DF,Enrique Romero,23 June 1971 (aged 30),3,Deportivo La Coruña
16,MF,Gaizka Mendieta,27 March 1974 (aged 28),32,Lazio
17,MF,Juan Carlos Valerón,17 June 1975 (aged 26),20,Deportivo La Coruña
18,MF,Sergio,10 November 1976 (aged 25),5,Deportivo La Coruña
19,MF,Xavi,25 January 1980 (aged 22),3,Barcelona
20,DF,Miguel Ángel Nadal,28 July 1966 (aged 35),59,Mallorca
21,MF,Luis Enrique,8 May 1970 (aged 32),57,Barcelona
22,MF,Joaquín,21 July 1981 (aged 20),3,Real Betis
23,GK,Pedro Contreras,7 January 1972 (aged 30),0,Málaga
Brazil
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Marcos,4 August 1973 (aged 28),15,Palmeiras
2,DF,Cafu (c),7 June 1970 (aged 31),103,Roma
3,DF,Lúcio,8 May 1978 (aged 24),15,Bayer Leverkusen
4,DF,Roque Júnior,31 August 1976 (aged 25),17,Milan
5,DF,Edmílson,10 July 1976 (aged 25),12,Lyon
6,DF,Roberto Carlos,10 April 1973 (aged 29),84,Real Madrid
7,MF,Ricardinho,23 May 1976 (aged 26),3,Corinthians
8,MF,Gilberto Silva,7 October 1976 (aged 25),6,Atlético Mineiro
9,FW,Ronaldo,18 September 1976 (aged 25),56,Inter Milan
10,MF,Rivaldo,19 April 1972 (aged 30),58,Barcelona
11,MF,Ronaldinho,21 March 1980 (aged 22),24,Paris Saint-Germain
12,GK,Dida,7 October 1973 (aged 28),49,Corinthians
13,DF,Juliano Belletti,20 June 1976 (aged 25),10,São Paulo
14,DF,Ânderson Polga,9 February 1979 (aged 23),5,Grêmio
15,MF,Kléberson,19 June 1979 (aged 22),5,Atlético Paranaense
16,DF,Júnior,20 June 1973 (aged 28),12,Parma
17,FW,Denílson,24 August 1977 (aged 24),53,Real Betis
18,MF,Vampeta,13 March 1974 (aged 28),36,Corinthians
19,MF,Juninho Paulista,22 February 1973 (aged 29),43,Flamengo
20,FW,Edílson,17 September 1971 (aged 30),17,Cruzeiro
21,FW,Luizão,14 November 1975 (aged 26),8,Grêmio
22,GK,Rogério Ceni,22 January 1973 (aged 29),12,São Paulo
23,MF,Kaká,22 April 1982 (aged 20),2,São Paulo
China
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,An Qi,21 June 1981 (aged 20),5,Dalian Shide
2,DF,Zhang Enhua,11 May 1974 (aged 28),65,Dalian Shide
3,DF,Yang Pu,30 March 1978 (aged 24),14,Beijing Guoan
4,DF,Wu Chengying,21 April 1975 (aged 27),53,Shanghai Shenhua
5,DF,Fan Zhiyi,22 January 1970 (aged 32),105,Dundee
6,MF,Shao Jiayi,10 April 1980 (aged 22),18,Beijing Guoan
7,DF,Sun Jihai,30 September 1977 (aged 24),59,Manchester City
8,MF,Li Tie,18 September 1977 (aged 24),76,Liaoning
9,MF,Ma Mingyu (c),10 August 1972 (aged 29),91,Sichuan Guancheng
10,FW,Hao Haidong,25 August 1970 (aged 31),95,Dalian Shide
11,MF,Yu Genwei,19 August 1976 (aged 25),17,Tianjin Teda
12,FW,Su Maozhen,30 July 1972 (aged 29),43,Shandong Luneng
13,MF,Gao Yao,13 July 1977 (aged 24),4,Shandong Luneng
14,DF,Li Weifeng,26 January 1978 (aged 24),55,Shenzhen Pingan
15,MF,Zhao Junzhe,18 April 1979 (aged 23),13,Liaoning Whowin
16,FW,Qu Bo,15 July 1981 (aged 20),16,Qingdao Hainiu
17,DF,Du Wei,9 February 1982 (aged 20),7,Shanghai Shenhua
18,MF,Li Xiaopeng,20 June 1975 (aged 26),26,Shandong Luneng
