Costa Rica
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Álvaro Mesén,24 December 1972 (aged 33),38,Herediano
2,DF,Jervis Drummond,8 September 1976 (aged 29),56,Saprissa
3,DF,Luis Marín ,10 August 1974 (aged 31),120,Alajuelense
4,DF,Michael Umaña,16 July 1982 (aged 23),18,Brujas
5,DF,Gilberto Martínez,1 October 1979 (aged 26),57,Brescia
6,MF,Danny Fonseca,7 November 1979 (aged 26),22,Cartaginés
7,MF,Christian Bolaños,17 May 1984 (aged 22),16,Saprissa
8,MF,Mauricio Solís,13 December 1972 (aged 33),107,CSD Comunicaciones
9,FW,Paulo Wanchope,31 July 1976 (aged 29),69,Herediano
10,MF,Walter Centeno,6 October 1974 (aged 31),93,Saprissa
11,FW,Rónald Gómez,24 January 1975 (aged 31),80,Saprissa
12,DF,Leonardo González,21 November 1980 (aged 25),36,Herediano
13,FW,Kurt Bernard,8 August 1977 (aged 28),3,Puntarenas
14,MF,Randall Azofeifa,30 December 1984 (aged 21),5,Saprissa
15,DF,Harold Wallace,7 September 1975 (aged 30),78,Alajuelense
16,MF,Carlos Hernández,9 April 1982 (aged 24),17,Alajuelense
17,DF,Gabriel Badilla,30 June 1984 (aged 21),7,Saprissa
18,GK,José Francisco Porras,8 November 1970 (aged 35),16,Saprissa
19,FW,Álvaro Saborío,25 March 1982 (aged 24),23,Saprissa
20,MF,Douglas Sequeira,23 August 1977 (aged 28),29,Real Salt Lake
21,FW,Victor Núñez,15 April 1980 (aged 26),3,Cartaginés
22,DF,Michael Rodríguez,30 December 1981 (aged 24),3,Alajuelense
23,GK,Wardy Alfaro,31 December 1977 (aged 28),2,Alajuelense
Ecuador
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Edwin Villafuerte,12 March 1979 (aged 27),15,Deportivo Quito
2,DF,Jorge Guagua,28 September 1981 (aged 24),18,El Nacional
3,DF,Iván Hurtado ,16 August 1974 (aged 31),130,Al-Arabi
4,DF,Ulises de la Cruz,8 February 1974 (aged 32),84,Aston Villa
5,DF,José Luis Perlaza,6 October 1981 (aged 24),3,Olmedo
6,MF,Patricio Urrutia,15 October 1978 (aged 27),6,LDU Quito
7,MF,Christian Lara,27 April 1980 (aged 26),19,El Nacional
8,MF,Edison Méndez,16 March 1979 (aged 27),64,LDU Quito
9,FW,Félix Borja,2 April 1983 (aged 23),6,El Nacional
10,FW,Iván Kaviedes,24 October 1977 (aged 28),44,Argentinos Juniors
11,FW,Agustín Delgado,23 December 1974 (aged 31),68,LDU Quito
12,GK,Cristian Mora,26 August 1979 (aged 26),8,LDU Quito
13,DF,Paul Ambrosi,14 October 1980 (aged 25),24,LDU Quito
14,MF,Segundo Castillo,15 May 1982 (aged 24),11,El Nacional
15,MF,Marlon Ayoví,27 September 1971 (aged 34),74,Deportivo Quito
16,MF,Antonio Valencia,4 August 1985 (aged 20),17,Recreativo Huelva
17,DF,Giovanny Espinoza,12 April 1977 (aged 29),56,LDU Quito
18,DF,Néicer Reasco,23 July 1977 (aged 28),31,LDU Quito
