Ranking,# of World Cups,# of World Cup Championships
1,19,5
2,17,3
3,17,4
4,15,2
5,13,1
6,13,1
7,13,1
8,9,0
9,11,2
10,11,0
11,11,0
12,9,0
13,7,0
14,14,0
15,9,0
16,9,0
17,7,0
18,5,0
19,11,0
20,8,0
21,9,0
22,8,0
23,7,0
24,4,0
25,9,0
26,8,0
27,3,0
28,6,0
29,8,0
30,7,0
31,2,0
32,4,0
33,4,0
34,2,0
35,3,0
36,3,0
37,4,0
38,4,0
39,3,0
40,3,0
41,4,0
42,2,0
43,3,0
44,3,0
45,1,0
46,1,0
47,3,0
48,4,0
49,1,0
50,2,0
51,4,0
52,1,0
53,3,0
54,1,0
55,1,0
56,2,0
57,2,0
58,1,0
59,2,0
60,2,0
61,2,0
62,1,0
63,1,0
64,2,0
65,1,0
66,1,0
67,3,0
68,1,0
69,1,0
70,1,0
71,1,0
72,1,0
73,1,0
74,1,0
75,1,0
76,2,0
