Ranking,Team
1,Brazil
2,Germany
3,Italy
4,Argentina
5,England
6,Spain
7,France
8,Netherlands
9,Uruguay
10,Sweden
11,Serbia
12,Russia
13,Poland
14,Mexico
15,Hungary
16,Czech Rep.
17,Austria
18,Portugal
19,Belgium
20,Chile
21,Switzerland
22,Paraguay
23,Romania
24,Denmark
25,United States
26,South Korea
27,Croatia
28,Cameroon
29,Scotland
30,Bulgaria
31,Turkey
32,Japan
33,Peru
34,Ghana
35,Ireland
36,N. Ireland
37,Nigeria
38,Colombia
39,South Africa
40,Costa Rica
41,Morocco
42,Ecuador
43,Norway
44,Australia
45,Senegal
46,East Germany
47,Algeria
48,Saudi Arabia
49,Ukraine
50,Ivory Coast
51,Tunisia
52,Wales
53,Iran
54,Cuba
55,Slovakia
56,Slovenia
57,North Korea
58,Jamaica
59,Honduras
60,New Zealand
61,Greece
62,Angola
63,Israel
64,Egypt
65,Kuwait
66,Trinidad/Tob.
67,Bolivia
68,Indonesia
69,Iraq
70,Togo
71,Canada
72,UA Emirates
73,China
74,Haiti
75,Congo DR
76,El Salvador
